gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.5095	1.742	2.293	1.742	0	0	0	0	0.551
A1CF	2.8251	0	4.538	0	0	0	0.372	0.726	3.44
A2M	5.2599	0.351	2.795	0	0	0.351	1.177	1.268	0
A3GALT2	3.1173	0.247	4.902	0	0	0.247	0.864	0.773	3.018
A4GALT	1.9112	2.708	12.997	0.582	0	2.127	1.372	0	8.916
A4GNT	0.4789	0	4.726	0	0	0	1.668	0.498	2.559
AAAS	0.7586	1.297	10.373	0	0	1.297	0.365	0	8.711
AACS	1.6707	0.841	26.608	0	0	0.841	2.289	0	23.478
AADAC	0.4693	1.452	5.262	0	1.452	0	1.371	2.439	0
AADACL2	3.3074	0	2.032	0	0	0	0.726	0.944	0.363
AADACL3	0.7574	0	5.494	0	0	0	0	0	5.494
AADAT	0.801	0.726	12.128	0	0.726	0	7.918	2.033	1.452
AAGAB	4.5773	0.424	26.82	0.424	0	0	13.257	0	13.139
AAK1	0.7229	0	8.221	0	0	0	1.222	2.345	4.654
AAMDC	1.131	0.944	13.12	0	0	0.944	1.955	2.612	7.609
AAMP	0.78	0	10.614	0	0	0	0	0	10.614
AANAT	2.2769	0.368	8.056	0	0	0.368	2.108	0	5.58
AAR2	0.7441	3.468	26.022	0	0	3.468	1.271	0	21.283
AARD	0.6657	2.077	3.796	1.506	0	0.571	0	0	1.72
AARS	0.6708	0.735	44.983	0	0	0.735	5.61	0	38.638
AARS2	4.8679	0.204	19.008	0	0	0.204	3.393	4.35	11.06
AARSD1	3.9989	2.043	9.74	0	0	2.043	2.645	0	5.052
AASDH	1.2006	0	8.218	0	0	0	1.389	0	6.829
AASDHPPT	0.7063	0.242	3.161	0	0.242	0	0.465	2.12	0.333
AASS	0.5942	0	3.062	0	0	0	0	1.61	1.452
AATF	3.1466	1.314	9.75	0	0	1.314	0	1.98	6.456
AATK	0.9463	0	0	0	0	0	0	0	0
ABAT	3.5152	0	13.606	0	0	0	1.528	0	12.079
ABCA1	4.7729	0	3.863	0	0	0	2.194	1.669	0
ABCA12	0.9078	0	2.395	0	0	0	0.581	0	1.815
ABCA13	0.8918	0	10.369	0	0	0	5.308	0	5.061
ABCA2	2.6593	0	2.593	0	0	0	0.337	0.457	1.8
ABCA3	0.856	0	15.455	0	0	0	6.043	2.231	7.181
ABCA4	2.84	1.398	11.873	0	0	1.398	1.88	2.54	6.055
ABCA5	1.5203	0	2.71	0	0	0	0.386	0	2.325
ABCA6	1.5627	3.506	32.637	0	0	3.506	11.917	7.777	9.436
ABCA7	0.7567	0.492	21.112	0	0	0.492	3.214	0	17.406
ABCA8	4.7379	2.646	12.583	1.67	0.976	0	4.308	1.411	4.218
ABCA9	1.2031	0.764	18.406	0	0.764	0	13.203	2.161	2.277
ABCB1	0.6437	2.326	4.991	0	2.326	0	2.665	0	0
