gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.7268	0.394	1.44	0.394	0	0	0	0.38	0.666
A1CF	5.5946	0.185	7.599	0	0	0.185	1.065	1.412	4.937
A2M	1.7329	0.438	3.308	0	0	0.438	1.508	1.362	0
A3GALT2	1.032	0.914	7.513	0	0	0.914	2.671	0.992	2.936
A4GALT	0.6485	1.528	8.411	0.531	0	0.997	0.739	0	6.143
A4GNT	0.5039	0.062	6.966	0	0	0.062	2.97	0.642	3.292
AAAS	0.657	1.319	12.107	0	0	1.319	0.727	0	10.061
AACS	0.5582	0.609	22.363	0	0	0.609	2.309	0	19.444
AADAC	0.6579	0.431	6.876	0	0.431	0	2.31	4.134	0
AADACL2	6.354	0.793	4.495	0	0.793	0	0.977	1.544	1.18
AADACL3	0.657	0.185	9.349	0.185	0	0	0	0.617	8.547
AADAT	0.6776	0.28	7.515	0	0.28	0	4.609	1.854	0.772
AAGAB	11.2433	0.932	45.941	0.547	0	0.385	18.209	0	26.801
AAK1	0.6904	0	7.767	0	0	0	2.286	1.097	4.383
AAMDC	0.5253	0.493	15.134	0	0	0.493	3.938	2.127	8.577
AAMP	0.4842	0	8.191	0	0	0	0	0	8.191
AANAT	1.175	0.471	9.092	0	0	0.471	1.917	0	6.704
AAR2	0.6664	0.775	11.872	0	0	0.775	1.522	0	9.576
AARD	0.6423	2.006	7.138	1.244	0	0.762	0	0	5.131
AARS	0.645	1.257	99.119	0	0	1.257	14.727	0	83.135
AARS2	12.1123	0.336	16.68	0	0	0.336	2.751	7.779	5.815
AARSD1	7.5506	1.97	10.466	0	0	1.97	2.731	0	5.765
AASDH	0.5863	0	11.284	0	0	0	1.468	0.205	9.611
AASDHPPT	0.5105	0.329	2.376	0	0.329	0	0.421	1.169	0.458
AASS	0.6532	0.282	3.627	0	0.282	0	0	2.57	0.775
AATF	9.3976	2.344	15.61	0	0	2.344	0	1.92	11.347
AATK	0.7303	0	0	0	0	0	0	0	0
ABAT	12.4204	0	18.761	0	0	0	3.716	0	15.046
ABCA1	14.0206	0.452	7.388	0	0.452	0	4.248	2.689	0
ABCA12	0.6053	0	1.833	0	0	0	0.448	0.665	0.719
ABCA13	0.5535	0.569	7.895	0	0.569	0	3.518	0	3.808
ABCA2	0.745	0	3.051	0	0	0	0.537	0.552	1.962
ABCA3	0.6688	0	11.915	0	0	0	2.92	2.048	6.947
ABCA4	0.7549	0.353	9.618	0	0	0.353	0.9	2.442	5.922
ABCA5	0.5836	0	3.142	0	0	0	1.003	0.186	1.953
ABCA6	0.635	2.096	24.206	0.918	0	1.179	5.473	9.416	7.222
ABCA7	0.5329	1.029	48.135	0	0	1.029	3.757	0	43.349
ABCA8	7.9964	1.302	8.05	1.034	0.268	0	3.155	1.616	1.977
ABCA9	0.6485	0.387	11.025	0	0.387	0	6.657	1.38	2.602
ABCB1	0.4631	0.493	2.019	0	0.493	0	1.526	0	0
ABCB10	0.5776	0.863	39.259	0	0	0.863	23.228	0.246	14.922
ABCB11	0.5156	0.431	3.095	0	0	0.431	0.59	1.225	0.849
ABCB4	0.5632	0	8.337	0	0	0	2.365	4.138	1.834
ABCB5	1.0165	0.438	9.429	0	0.438	0	1.817	0.54	6.633
ABCB6	0.538	0.193	11.872	0	0	0.193	0.963	0.497	10.219
ABCB7	0.23	0.123	3.539	0	0	0.123	0.103	1.838	1.475
ABCB8	0.6478	1.444	38.742	0	0	1.444	1.37	0	35.928
ABCB9	1.0221	0.529	11.713	0	0	0.529	3.49	1.737	5.956
ABCC1	0.5609	1.158	49.945	0	0	1.158	0	2.705	46.082
ABCC10	0.6314	0.062	5.296	0	0	0.062	0.712	0	4.523
ABCC12	0.7293	0	10.42	0	0	0	6.894	0	3.526
ABCC2	0	0.246	6.117	0	0	0.246	0.664	0.653	4.553
ABCC3	7.3744	0	4.532	0	0	0	0	0	4.532
ABCC4	1.2322	0.61	7.382	0	0.61	0	0	1.894	4.878
ABCC5	0.6575	1.088	10.146	0.37	0	0.719	1.028	3.736	4.294
ABCC6	8.0195	0	64.084	0	0	0	46.836	8.987	8.262
ABCC8	0.5584	0	5.697	0	0	0	2.068	0	3.629
ABCC9	0.7173	0.688	3.866	0	0	0.688	0	1.232	1.945
ABCD1	9.9519	0.394	9.497	0	0	0.394	0.55	5.155	3.398
ABCD2	0.4393	0.407	11.818	0	0	0.407	5.748	2.241	3.422
ABCD3	6.4851	0.7	10.102	0.577	0.123	0	4.601	1.588	3.213
ABCD4	0.6096	1.329	10.873	0	0	1.329	2.236	0	7.307
ABCE1	0.5489	0.172	11.721	0	0	0.172	0.422	2.859	8.267
ABCF1	0.5828	1.145	7.695	0	0	1.145	1.751	0	4.799
ABCF2	0.6749	1.449	9.312	0.237	0.296	0.916	0.825	0.314	6.724
ABCF3	9.6528	0.804	25.393	0	0	0.804	1.051	3.517	20.021
ABCG1	0.5639	0.319	2.164	0	0.319	0	1.845	0	0
ABCG2	0.7516	0	2.769	0	0	0	0.904	0.172	1.693
ABCG4	0.7021	1.244	23.907	0	0	1.244	0	0	22.663
ABCG5	0.6933	0.925	13.151	0	0.148	0.777	2.591	0	9.634
ABCG8	7.107	0	14.553	0	0	0	4.765	1.894	7.894
ABHD10	0.627	0.43	9.163	0	0	0.43	1.536	1.02	6.177
ABHD11	0.6469	0.554	73.332	0	0	0.554	23.438	0	49.34
ABHD12	14.5762	0	2.278	0	0	0	0	0.702	1.575
ABHD12B	0.6937	0.379	7.54	0	0	0.379	1.674	0.658	4.83
ABHD13	0.6332	0.616	22.913	0	0	0.616	20.118	1.718	0.462
ABHD14A	12.5298	1.25	27.786	0	0	1.25	0.539	0	25.997
ABHD14B	12.5247	0.74	15.242	0	0	0.74	0.71	0	13.793
ABHD15	0.9348	1.502	17.721	0	0	1.502	0.856	0	15.363
ABHD16A	0.6956	2.417	16.494	0	0	2.417	4.351	0.68	9.045
ABHD16B	0.6622	1.643	49.296	1.045	0	0.598	4.236	0	43.417
ABHD17A	1.1105	4.4	30.227	0	0	4.4	0	0	25.827
ABHD17B	0.3135	0.452	26.105	0	0	0.452	1.064	7.689	16.9
ABHD17C	0.754	0.062	6.794	0	0	0.062	3.272	0.412	3.048
ABHD18	11.3446	0	5.992	0	0	0	0.449	0	5.542
ABHD2	15.1446	0.538	75.096	0	0	0.538	0.7	56.152	17.706
ABHD3	0.685	0.808	12.298	0	0	0.808	1.204	1.436	8.85
