gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.7367	1.023	1.928	1.023	0	0	0	0.46	0.444
A1CF	5.8786	0.768	3.854	0	0	0.768	0.645	0.256	2.186
A2M	0.9769	1.023	5.099	0	0	1.023	2.307	1.768	0
A3GALT2	0.5165	0.979	4.607	0	0	0.979	1.716	0.342	1.57
A4GALT	0.7594	4.51	18.032	1.078	0	3.432	1.716	0	11.805
A4GNT	0.5713	0	3.244	0	0	0	0.995	0.447	1.803
AAAS	0.8127	0.916	14.241	0	0	0.916	1.064	0	12.261
AACS	1.0224	0.137	10.256	0	0	0.137	2.197	0	7.922
AADAC	0.6216	0	4.982	0	0	0	1.551	3.431	0
AADACL2	1.7999	0	2.729	0	0	0	0	0.938	1.791
AADACL3	0.7096	0	5.301	0	0	0	0	0	5.301
AADAT	0.6411	0	5.205	0	0	0	3.957	1.247	0
AAGAB	2.2565	0.645	11.891	0.297	0	0.348	4.268	0	6.979
AAK1	0.6426	0	3.481	0	0	0	1.646	0.895	0.94
AAMDC	0.7363	0.356	11.145	0	0	0.356	2.034	1.321	7.433
AAMP	0.9841	0	3.77	0	0	0	0	0	3.77
AANAT	0.7557	0.781	9.656	0	0	0.781	2.209	0	6.667
AAR2	0.7908	0.56	4.732	0	0	0.56	1.372	0	2.801
AARD	0.6802	3.487	6.763	2.57	0	0.917	0	0	3.276
AARS	0.9377	1.713	25.278	0	0	1.713	0.935	0	22.631
AARS2	7.1286	0.216	13.083	0	0	0.216	4.133	0.493	8.24
AARSD1	0.9797	1.962	11.912	0	0	1.962	5.116	0	4.834
AASDH	0.8273	0	10.891	0	0	0	0.641	0	10.25
AASDHPPT	0.7396	1.023	2.846	0	1.023	0	0.795	1.028	0
AASS	0.6081	0	3.036	0	0	0	0	2.556	0.48
AATF	4.1993	0.929	10.815	0	0	0.929	0	1.644	8.241
AATK	0.8513	0	0	0	0	0	0	0	0
ABAT	4.1826	0	12.982	0	0	0	3.096	0	9.886
ABCA1	2.2718	0	5.535	0	0	0	3.364	2.171	0
ABCA12	0.7939	0	1.208	0	0	0	0.441	0	0.768
ABCA13	0.8586	0	9.495	0	0	0	4.62	0	4.875
ABCA2	0.8677	0	4.272	0	0	0	1.867	0.89	1.516
ABCA3	0.9224	0	7.55	0	0	0	1.611	1.181	4.757
ABCA4	1.0461	0	10.879	0	0	0	0.613	2.541	7.725
ABCA5	0.9498	0	0.747	0	0	0	0.366	0	0.382
ABCA6	0.7404	1.628	18.554	0.251	0	1.377	4.941	4.907	7.078
ABCA7	1.0074	0.511	9.933	0	0	0.511	0.883	0	8.54
ABCA8	0.859	0.851	9.261	0.463	0.389	0	4.518	1.132	2.76
ABCA9	0.8574	0.351	11.305	0	0.351	0	6.995	2.249	1.711
ABCB1	0.6437	0.719	1.426	0	0.719	0	0.707	0	0
ABCB10	0.5466	0.602	8.407	0	0	0.602	3.127	0	4.679
ABCB11	0.867	0	5.023	0	0	0	0.904	2.379	1.74
ABCB4	0.8339	0	6.197	0	0	0	0.975	3.37	1.853
ABCB5	0.6233	0.256	8.735	0	0.256	0	1.439	0.341	6.699
ABCB6	0.8745	0.153	19.555	0	0	0.153	0.548	1.344	17.51
ABCB7	0.6367	0	2.343	0	0	0	0.409	1.933	0
ABCB8	0.613	1.548	22.322	0	0	1.548	2.399	0	18.375
ABCB9	0.714	0.499	10.513	0	0	0.499	4.772	1.095	4.148
ABCC1	0.5644	2.576	20.953	0	0	2.576	0	2.089	16.288
ABCC10	1.1883	0	4.719	0	0	0	2.462	0	2.258
ABCC12	0.7524	0	10.832	0	0	0	7.815	0	3.017
ABCC2	0	0	3.504	0	0	0	0.941	0.256	2.307
ABCC3	0.9997	0	3.846	0	0	0	0	0	3.846
ABCC4	0.6734	0.994	9.926	0	0.994	0	0	2.161	6.771
ABCC5	0.6743	2.016	9.162	0.555	0	1.461	1.027	3.423	2.696
ABCC6	2.9187	0	51.819	0	0	0	41.649	3.995	6.175
ABCC8	0.7768	0	3.954	0	0	0	2.101	0	1.853
ABCC9	0.649	0.768	3.566	0	0	0.768	0	1.279	1.519
ABCD1	4.1344	0.858	12.882	0	0	0.858	2.466	1.818	7.74
ABCD2	0.7135	0	5.549	0	0	0	2.786	0.374	2.389
ABCD3	4.775	0.479	8.587	0.479	0	0	5.385	0.995	1.727
ABCD4	1.455	0	8.299	0	0	0	2.059	0	6.241
ABCE1	0.6861	0	8.122	0	0	0	0.399	2.09	5.632
ABCF1	0.5651	1.368	7.558	0	0	1.368	0.922	0	5.267
ABCF2	0.838	2.555	8.352	0.37	0	2.184	0	0	5.797
ABCF3	1.4712	0.764	28.855	0	0	0.764	1.625	3.37	23.097
ABCG1	0.8206	0.791	1.904	0	0.791	0	1.113	0	0
ABCG2	0.7198	0	1.933	0	0	0	1.279	0	0.653
ABCG4	0.9477	0	11.069	0	0	0	0	0	11.069
ABCG5	1.0162	0.666	15.509	0	0	0.666	4.948	0	9.895
ABCG8	0.9297	0	10.604	0	0	0	2.134	2.498	5.973
ABHD10	0.6511	0.557	9.213	0	0	0.557	2.132	2.543	3.982
ABHD11	1.6774	0	32.842	0	0	0	7.922	0	24.92
ABHD12	2.09	0	2.891	0	0	0	0	0.802	2.089
ABHD12B	1.0705	0.975	5.413	0	0	0.975	1.219	0.262	2.957
ABHD13	0.9492	0	6.884	0	0	0	6.479	0	0.405
ABHD14A	7.2209	0.432	7.14	0	0	0.432	0.378	0	6.33
ABHD14B	7.2221	0.441	4.386	0	0	0.441	0.729	0	3.216
ABHD15	0.9514	0.75	5.919	0	0	0.75	0.246	0	4.922
ABHD16A	1.0792	1.111	16.503	0	0	1.111	4.589	0.836	9.966
ABHD16B	0.5802	0.969	13.157	0.628	0	0.341	2.021	0	10.167
ABHD17A	0.6677	0.674	5.584	0	0	0.674	0	0	4.911
ABHD17B	0.3362	0.322	10.97	0	0	0.322	1.12	1.675	7.853
ABHD17C	0.9795	0.481	5.225	0	0	0.481	3.195	0.389	1.16
ABHD18	5.9101	0	8.287	0	0	0	1.071	0	7.217
ABHD2	1.9108	0.93	17.985	0	0	0.93	0.443	6.514	10.098
ABHD3	0.5496	0.512	8.263	0	0	0.512	1.232	0.741	5.779
ABHD4	1.7559	0.636	12.562	0	0	0.636	0.858	3.791	7.276
ABHD5	0.8159	0	6.379	0	0	0	2.378	0	4.001
ABHD6	3.8725	0.622	7.614	0	0	0.622	1.83	0.496	4.667
ABHD8	0.7411	1.117	26.089	0	0	1.117	16.896	0	8.076
ABI1	2.7337	1.23	8.885	0	0.171	1.06	2.078	1.205	4.371
ABI2	0.8678	0	5.344	0	0	0	1.355	0	3.989
ABI3	4.6895	0	18.467	0	0	0	0	0	18.467
ABL1	0.8545	0.328	19.171	0	0	0.328	1.723	0	17.12
ABL2	6.0124	0.23	14.19	0	0	0.23	2.25	2.238	9.471
ABLIM1	0.398	0	4.645	0	0	0	0.601	1.151	2.893
ABLIM2	1.3503	0	3.708	0	0	0	0.644	0.402	2.661
ABLIM3	8.3719	0.499	11.83	0.499	0	0	3.351	1.921	6.059
ABO	1.3806	1.73	4.606	1.73	0	0	0.82	0	2.055
ABR	0.5985	0.333	4.95	0	0	0.333	0	0	4.617
ABRA	0.7185	0	0.992	0	0	0	0	0	0.992
ABRACL	0.677	0.704	9.558	0.704	0	0	3.959	0.251	4.645
ABT1	0	0.333	5.697	0	0	0.333	2.588	0.844	1.932
ABTB1	0.8356	0	16.919	0	0	0	5.673	0.443	10.802
ABTB2	0.4344	0	3.36	0	0	0	1.463	0.21	1.687
ACAA1	0.3829	0	1.543	0	0	0	0	0	1.543
ACAA2	0.5719	0.191	13.466	0	0	0.191	3.191	3.98	6.105
ACACA	1.1263	0.399	10.469	0	0	0.399	0.487	0.838	8.746
ACACB	1.0168	1.34	13.154	0	0	1.34	2.034	0.776	9.004
ACAD10	0	2.075	17.651	0	0	2.075	1.886	0.225	13.465
ACAD11	0.7333	0.707	5.055	0	0	0.707	0.256	0.256	3.837
ACAD8	0.665	0	8.285	0	0	0	4.332	2.188	1.765
ACAD9	0.7564	0	48.186	0	0	0	14.244	3.877	30.065
ACADL	0.6601	0	8.466	0	0	0	2.894	2.422	3.151
ACADM	6.8657	3.198	17.331	0.832	0	2.365	5.083	0.72	8.33
ACADS	0.745	2.746	6.477	0	0.342	2.404	0	0.469	3.261
ACADSB	0.7267	0.503	6.093	0	0	0.503	1.884	1.101	2.605
ACADVL	0.9507	0	5.826	0	0	0	1.529	0	4.297
