gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.8546	0.525	5.081	0.525	0	0	0	3.498	1.058
A1CF	0.7071	0.262	7.875	0	0	0.262	1.782	1.476	4.354
A2M	1.0107	0.262	3.903	0	0	0.262	1.538	2.103	0
A3GALT2	0.5395	0.775	9.096	0	0	0.775	2.934	2.271	3.116
A4GALT	0.8359	0.525	6.54	0.175	0	0.35	0.471	0	5.544
A4GNT	1.0918	0.787	5.153	0	0	0.787	0.525	0.432	3.41
AAAS	0.6776	0.992	9.102	0	0	0.992	0.136	0	7.974
AACS	0.8395	0.695	13.608	0	0	0.695	1.634	0	11.279
AADAC	0.666	0.524	9.097	0	0.524	0	2.781	5.793	0
AADACL2	0.5307	0.262	5.179	0	0.262	0	1.887	1.84	1.19
AADACL3	0.818	0.513	15.129	0.513	0	0	0	1.134	13.482
AADAT	0.6011	0.787	13.162	0	0.787	0	8.351	2.356	1.668
AAGAB	0.7578	0.725	7.485	0.271	0	0.453	2.435	0	4.325
AAK1	0.6491	0	4.682	0	0	0	2.07	0.347	2.265
AAMDC	0.7569	0.262	10.425	0	0	0.262	1.786	2.03	6.347
AAMP	1.122	0	1.627	0	0	0	0	0	1.627
AANAT	0.6794	0.135	4.561	0	0	0.135	1.066	0	3.361
AAR2	0.5901	0.774	4.88	0	0	0.774	0.764	0	3.342
AARD	1.2073	2.893	9.904	1.669	0	1.224	0	0	7.01
AARS	0.5806	0.732	10.327	0	0	0.732	1.2	0	8.396
AARS2	0.6458	0	6.601	0	0	0	1.425	1.528	3.647
AARSD1	0.6636	4.308	10.739	0	0	4.308	2.606	0	3.824
AASDH	0.5626	0	14.52	0	0	0	1.596	1.692	11.232
AASDHPPT	0.9564	0.968	5.704	0	0.968	0	1.404	2.812	0.52
AASS	0.9677	0	5.58	0	0	0	0	3.962	1.618
AATF	0.5916	1.221	11.699	0	0	1.221	0	1.252	9.226
AATK	0.8056	0	0	0	0	0	0	0	0
ABAT	0.6273	0	10.488	0	0	0	2.039	0	8.449
ABCA1	0.5509	0.965	8.759	0	0.965	0	4.602	3.193	0
ABCA12	0.8648	0	2.954	0	0	0	0.894	0	2.06
ABCA13	1.2581	0.375	13.455	0	0.375	0	7.035	0	6.045
ABCA2	0.4196	0	1.861	0	0	0	0.664	0	1.197
ABCA3	1.0627	0	7.7	0	0	0	1.853	1.301	4.546
ABCA4	0.5773	0	7.22	0	0	0	1.117	0.763	5.34
ABCA5	0.7602	0	2.926	0	0	0	0.68	0.964	1.282
ABCA6	1.0224	3.215	33.66	1.009	0	2.206	6.513	14.818	9.113
ABCA7	0.7021	0.578	4.794	0	0	0.578	0.261	0	3.955
ABCA8	0.7282	0.495	11.999	0.233	0.262	0	6.245	3.335	1.925
ABCA9	0.7345	0.805	12.333	0	0.805	0	7.482	1.67	2.376
ABCB1	0.852	0.873	1.598	0	0.873	0	0.725	0	0
ABCB10	0.5537	0.844	9.325	0	0	0.844	2.008	0	6.473
ABCB11	0.6589	1.34	5.801	0	0	1.34	0.513	2.314	1.634
ABCB4	0.8513	0	9.368	0	0	0	3.998	3.59	1.781
ABCB5	0.9021	0.612	10.064	0	0.612	0	3.144	0.33	5.979
ABCB6	0.8267	0.222	5.405	0	0	0.222	1.674	0.495	3.014
ABCB7	0.3303	1.034	5.773	0	0	1.034	0.668	3.547	0.525
ABCB8	0.6147	0.748	11.801	0	0	0.748	0.864	0	10.188
ABCB9	1.117	0.63	14.856	0	0	0.63	3.431	2.67	8.126
ABCC1	1.03	0.697	13.412	0	0	0.697	0	1.904	10.811
ABCC10	0.7433	0	2.968	0	0	0	0	0	2.968
ABCC12	0.7048	0	12.012	0	0	0	8.075	0	3.937
ABCC2	0.1749	0.25	5.399	0	0	0.25	0.361	1.15	3.639
ABCC3	0.6898	0	4.809	0	0	0	0	0	4.809
ABCC4	0.9805	0.315	2.933	0	0.315	0	0	0.787	1.832
ABCC5	1.1159	0.377	8.881	0	0	0.377	1.033	4.554	2.917
ABCC6	0.5147	0	6.323	0	0	0	2.676	1.003	2.644
ABCC8	1.1452	0	3.2	0	0	0	2.238	0	0.962
ABCC9	0.6198	0.495	5.535	0	0	0.495	0	1.916	3.124
ABCD1	0.9279	0.375	7.881	0	0	0.375	0.273	1.919	5.313
ABCD2	0.8361	0.35	7.455	0	0	0.35	3.491	1.331	2.284
ABCD3	0.5975	0.525	6.325	0.525	0	0	2.483	1.747	1.571
ABCD4	0.6295	0.92	6.958	0	0	0.92	0.604	0	5.434
ABCE1	0.857	0.3	7.567	0	0	0.3	0.194	1.917	5.155
ABCF1	0.6317	0.836	5.677	0	0	0.836	2.116	0	2.726
ABCF2	0.5904	1.078	8.162	0.458	0.155	0.465	0.182	0.146	6.755
ABCF3	0.5783	0.695	15.364	0	0	0.695	0.894	2.425	11.35
ABCG1	1.024	0	2.459	0	0	0	2.459	0	0
ABCG2	0.5565	0	3.15	0	0	0	0.7	0.33	2.12
ABCG4	0.5547	0.55	7.792	0	0	0.55	0	0	7.242
ABCG5	0.9096	0.116	9.472	0	0	0.116	1.525	0	7.83
ABCG8	0.5685	0	9.995	0	0	0	2.964	1.757	5.274
ABHD10	0.841	0	8.165	0	0	0	1.945	0.779	5.44
ABHD11	0.4984	0	28.518	0	0	0	1.075	0	27.442
ABHD12	0.6557	0	1.959	0	0	0	0	0.953	1.006
ABHD12B	0.5193	0.829	4.684	0	0	0.829	1.173	0.396	2.286
ABHD13	0.7583	0.281	2.596	0	0	0.281	1.499	0.415	0.401
ABHD14A	0.5917	0	3.521	0	0	0	0.38	0	3.141
ABHD14B	0.5915	0	3.328	0	0	0	0.524	0	2.804
ABHD15	0.4494	0.656	7.579	0	0	0.656	0.954	0	5.969
ABHD16A	0.5721	1.164	8.711	0	0	1.164	2.282	0.22	5.046
ABHD16B	0.6471	0.346	11.091	0	0	0.346	2.342	0	8.403
ABHD17A	0.6829	0.724	4.053	0	0	0.724	0	0	3.33
ABHD17B	0.6398	0.434	8.278	0	0	0.434	0.895	0.81	6.138
ABHD17C	0.5857	0.351	9.494	0	0	0.351	3.333	1.123	4.686
ABHD18	0.4736	0	6.01	0	0	0	0.437	0	5.572
ABHD2	0.5729	0.193	7.934	0	0	0.193	0.799	1.082	5.861
ABHD3	1.2987	1.119	11.568	0	0	1.119	0.837	0.732	8.88
ABHD4	0.3101	0.203	9.221	0	0	0.203	1.207	1.314	6.497
ABHD5	0.9494	0.608	8.979	0	0	0.608	1.587	0	6.784
ABHD6	0.2993	0.35	6.751	0	0	0.35	0.949	1.705	3.747
ABHD8	0.7312	0.895	13.642	0	0	0.895	4.147	0	8.6
ABI1	0.5641	1.223	6.932	0	0.926	0.297	1.472	1.111	3.125
ABI2	0.6452	0.424	8.794	0	0	0.424	3.021	0	5.349
ABI3	0.4178	0	3.372	0	0	0	0	0	3.372
ABL1	0.63	0.77	27.195	0	0	0.77	1.072	0	25.353
ABL2	0.4922	0.994	12.138	0	0	0.994	0.182	1.751	9.21
ABLIM1	0.2549	0	4.18	0	0	0	0.742	1.514	1.923
ABLIM2	0.4406	0	5.577	0	0	0	0.889	1.135	3.553
ABLIM3	0.3484	0.48	7.441	0.48	0	0	1.114	1.055	4.792
ABO	0.4616	1.29	3.808	1.29	0	0	0.525	0	1.994
ABR	1.4368	0.303	3.535	0	0	0.303	0	0	3.231
ABRA	0.6817	0.522	2.788	0	0	0.522	0	0.705	1.561
ABRACL	0.6155	0.262	10.229	0.262	0	0	3.963	0.991	5.013
ABT1	0.2099	0.502	3.289	0	0.281	0.222	1.208	0.346	1.233
ABTB1	0.9107	0	7.167	0	0	0	1.659	0.233	5.275
ABTB2	0.9185	0	8.338	0	0	0	4.389	0.453	3.496
ACAA1	0.3874	0	0.444	0	0	0	0	0	0.444
ACAA2	0.6251	0.248	13.421	0	0	0.248	2.828	3.393	6.952
ACACA	0.7116	1.104	11.465	0	0	1.104	0.635	1.003	8.724
ACACB	0.9143	4.709	17.854	0	0	4.709	2.47	0.839	9.835
