gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.5162	0	0.909	0	0	0	0	0	0.909
A1CF	9.595	0	1.275	0	0	0	0.972	0.303	0
A2M	2.1854	0.303	1.213	0	0	0.303	0.606	0.303	0
A3GALT2	1.4419	0.586	5.854	0	0	0.586	0.322	1.331	3.615
A4GALT	0.4805	0.335	3.564	0	0	0.335	0.329	0	2.9
A4GNT	0.4043	0	2.194	0	0	0	0	0.391	1.803
AAAS	0.5931	1.085	10.058	0	0	1.085	0.421	0	8.552
AACS	0.9268	1.047	23.767	0	0	1.047	2.065	0	20.654
AADAC	0.4032	0	2.222	0	0	0	0.574	1.649	0
AADACL2	2.572	0	0.505	0	0	0	0.303	0.202	0
AADACL3	2.6047	0	3.55	0	0	0	0	0.255	3.295
AADAT	0.5325	0	1.433	0	0	0	0.975	0.457	0
AAGAB	2.7802	0.168	8.808	0.168	0	0	2.707	0	5.933
AAK1	0.475	0	12.376	0	0	0	1.438	6.975	3.964
AAMDC	4.7604	0.516	9.159	0	0	0.516	1.375	0.311	6.956
AAMP	0.4158	0	1	0	0	0	0	0	1
AANAT	0.4552	0.538	6.452	0	0	0.538	2.145	0	3.769
AAR2	0.6746	0.685	4.786	0	0	0.685	0.369	0	3.732
AARD	0.4855	1.435	2.929	0.697	0	0.738	0	0	1.494
AARS	2.6214	0.833	44.559	0	0	0.833	3.197	0	40.53
AARS2	6.0983	0.53	35.378	0	0	0.53	5.508	4.698	24.643
AARSD1	2.0826	0.559	4.987	0	0	0.559	1.598	0	2.83
AASDH	0.5159	0	4.347	0	0	0	0.751	0.216	3.38
AASDHPPT	0.4164	0	3.261	0	0	0	0.874	1.278	1.109
AASS	0.3581	0	0.996	0	0	0	0	0.996	0
AATF	5.8153	1.614	11.266	0	0	1.614	0	1.545	8.107
AATK	0.5917	0	0	0	0	0	0	0	0
ABAT	5.3598	0	5.452	0	0	0	0.982	0	4.47
ABCA1	5.9138	0	3.703	0	0	0	2.921	0.782	0
ABCA12	0.3858	0	1.385	0	0	0	0.172	0.303	0.909
ABCA13	0.5212	0.606	4.987	0	0.606	0	2.574	0	1.807
ABCA2	0.6902	0	5.081	0	0	0	2.725	0	2.356
ABCA3	0.4501	0	40.415	0	0	0	5.097	2.439	32.878
ABCA4	0.4089	0	3.294	0	0	0	1.351	0.086	1.857
ABCA5	0.762	0	1.459	0	0	0	0.579	0	0.88
ABCA6	0.4307	2.213	10.792	1.516	0	0.697	2.725	3.584	2.27
ABCA7	0.4167	3.02	77.537	0	0	3.02	1.848	0	72.67
ABCA8	0.5239	0.172	6.277	0	0.172	0	2.978	2.092	1.035
ABCA9	4.3459	0	5.158	0	0	0	3.899	0.308	0.951
ABCB1	0.3792	0	0.606	0	0	0	0.606	0	0
ABCB10	0.2021	0.897	18.476	0	0	0.897	9.519	0.259	7.8
ABCB11	2.1603	1.06	2.074	0	0	1.06	0.202	0.257	0.554
ABCB4	0.4297	0	71.934	0	0	0	0.896	45.124	25.913
ABCB5	0.4146	0	0.505	0	0	0	0.202	0	0.303
ABCB6	0.4526	0	8.329	0	0	0	0.917	0.283	7.129
ABCB7	0.2021	0	3.739	0	0	0	0	2.112	1.627
ABCB8	0.4493	18.021	52.836	0	0	18.021	0.853	0	33.961
ABCB9	0.5111	1.194	19.229	0	0	1.194	9.753	2.443	5.839
ABCC1	0.3308	6.039	68.136	0	0	6.039	0	8.051	54.045
ABCC10	1.808	0.308	1.897	0	0	0.308	0.172	0	1.417
ABCC12	0.3601	0	3.06	0	0	0	1.863	0	1.198
ABCC2	0	0	2.812	0	0	0	0.594	0.495	1.724
ABCC3	3.0921	0	4.304	0	0	0	0	0	4.304
ABCC4	0.53	0	2.005	0	0	0	0	1.167	0.838
ABCC5	0.5213	0.215	5.531	0	0	0.215	0.233	2.365	2.717
ABCC6	3.859	0	3.254	0	0	0	1.644	0.909	0.702
ABCC8	0.6722	0	2.542	0	0	0	1.467	0	1.075
ABCC9	0.4647	0	1.152	0	0	0	0	0.541	0.611
ABCD1	2.1367	1.314	7.803	0	0	1.314	0.364	2.699	3.427
ABCD2	0.4463	0	2.994	0	0	0	1.314	1.073	0.606
ABCD3	8.8781	0.303	4.456	0.303	0	0	3.138	0.823	0.191
ABCD4	0.594	0	4.413	0	0	0	0.804	0	3.609
ABCE1	0.5197	0.466	35.618	0	0	0.466	5.306	4.484	25.361
ABCF1	1.814	0.409	5.088	0	0	0.409	1.129	0	3.55
ABCF2	11.9119	1.096	7.741	0.485	0	0.611	0.487	0.571	5.586
ABCF3	4.8205	0.483	27.668	0	0	0.483	0.363	3.351	23.471
ABCG1	3.0886	0	1.427	0	0	0	1.427	0	0
ABCG2	0.3509	0	0.606	0	0	0	0.303	0	0.303
ABCG4	0.6271	0.675	15.694	0	0	0.675	0	0	15.019
ABCG5	0.4111	0	4.252	0	0	0	0.442	0	3.81
ABCG8	0.9952	0	4.58	0	0	0	0.606	0.489	3.484
ABHD10	1.4704	0	4.39	0	0	0	1.467	0.485	2.438
ABHD11	0.5317	0.991	38.024	0	0	0.991	7.741	0	29.293
ABHD12	12.8834	0	1.219	0	0	0	0	0.626	0.594
ABHD12B	2.3417	0.571	5.583	0	0	0.571	1.217	1.33	2.465
ABHD13	0.716	0.335	52.633	0	0	0.335	47.363	3.971	0.964
ABHD14A	4.8527	0.396	20.255	0	0	0.396	0.375	0	19.484
ABHD14B	4.8526	0.295	3.902	0	0	0.295	0.317	0	3.289
ABHD15	18.4975	0.31	7.62	0	0	0.31	0.478	0	6.831
ABHD16A	0.4567	5.882	33.934	0	0	5.882	5.364	0.384	22.303
ABHD16B	0.2836	2.991	43.168	1.128	0	1.863	0.944	0	39.233
ABHD17A	0.4359	2.16	13.119	0	0	2.16	0	0	10.959
ABHD17B	1.0262	0	10.734	0	0	0	0.949	2.633	7.151
ABHD17C	0.5297	0.606	7.232	0	0	0.606	5.027	0	1.598
ABHD18	14.1232	0	4.851	0	0	0	0.303	0	4.548
ABHD2	8.9648	0	52.692	0	0	0	0.6	6.368	45.725
ABHD3	3.6689	1.182	5.41	0	0	1.182	0.479	0.303	3.446
ABHD4	5.7381	0.377	23.91	0	0	0.377	1.176	14.91	7.448
ABHD5	0.5036	0	12.32	0	0	0	4.528	0	7.792
ABHD6	15.5058	0	3.644	0	0	0	0.479	0.983	2.182
ABHD8	0.5463	0.424	9.209	0	0	0.424	2.636	0	6.149
ABI1	4.2964	0.255	8.272	0	0	0.255	0.6	0.421	6.997
ABI2	0.4487	1.202	12.635	0	0	1.202	3.203	0	8.231
ABI3	0.7134	0	49.568	0	0	0	0	0	49.568
ABL1	1.0617	0.149	25.916	0	0	0.149	0.328	0	25.438
ABL2	4.6175	1.919	12.973	0	0	1.919	1.129	1.881	8.044
ABLIM1	1.1907	0	2.255	0	0	0	0.663	0.449	1.143
ABLIM2	12.1939	0	2.272	0	0	0	0.158	0.517	1.597
ABLIM3	9.3697	0.379	2.216	0.379	0	0	0.086	0.271	1.479
ABO	10.5205	1.347	2.647	1.347	0	0	0	0	1.299
ABR	0.4172	0.525	3.795	0	0	0.525	0	0	3.269
ABRA	8.2121	0.306	1.758	0	0	0.306	0	0.296	1.156
ABRACL	6.636	0.23	4.127	0.23	0	0	2.268	0	1.629
ABT1	0	0	5.382	0	0	0	2.055	1.097	2.23
ABTB1	0.5423	0	7.035	0	0	0	2.048	0.272	4.716
ABTB2	0.4171	0	2.705	0	0	0	0.897	0.191	1.617
ACAA1	0.2021	0	1.76	0	0	0	0	0	1.76
ACAA2	0.4552	0	13.258	0	0	0	2.908	4.115	6.236
ACACA	0.7133	0.244	11.959	0	0	0.244	0.486	1.234	9.995
ACACB	0.4799	0.371	18.027	0	0	0.371	2.269	0	15.386
ACAD10	0	1.395	11.649	0	0	1.395	2.461	0	7.793
ACAD11	0.4833	0.289	6.365	0	0	0.289	0.477	0.376	5.223
ACAD8	0.4377	0.91	5.756	0	0.91	0	3.177	0.667	1.003
ACAD9	0.4011	0	8.377	0	0	0	1.357	0.839	6.181
ACADL	0.4303	0	5.9	0	0	0	2.599	1.67	1.631
ACADM	6.2504	2.346	30.371	0.423	0.287	1.637	12.887	0.652	14.486
ACADS	0.512	0.969	6.012	0	0.264	0.705	0	0.843	4.2
ACADSB	0.5245	0.862	4.614	0	0	0.862	1.201	0.388	2.164
ACADVL	0.5518	0	1.711	0	0	0	0.223	0	1.488
ACAP1	0.6542	0	5.29	0	0	0	0	0	5.29
ACAP2	0.4005	0	0.3	0	0	0	0	0	0.3
ACAP3	0.9723	0	0	0	0	0	0	0	0
ACAT1	0.3902	0	8.953	0	0	0	3.238	1.882	3.833
ACAT2	1.0666	0.804	10.0925	0	0	0.804	0.544	0	8.745
ACBD3	0.3651	2.337	69.018	0	0	2.337	18.722	0	47.959
ACBD4	0.387	0.31	2.354	0	0	0.31	0	0	2.044
ACBD5	2.1692	17.513	74.302	0	0	17.513	15.413	4.319	37.057
ACBD6	20.6533	0	25.303	0	0	0	7.014	1.093	17.195
ACBD7	9.5034	9.772	15.731	0	0	9.772	2.993	0	2.966
ACCS	2.7351	0.303	3.204	0.303	0	0	0	0.172	2.729
ACCSL	0.4307	0	6.784	0	0	0	4.213	0	2.57
ACD	0.4019	0.153	1.059	0	0	0.153	0	0	0.906
ACE	0.4233	0	1.874	0	0	0	0	0.322	1.552
ACE2	6.0996	1.345	3.577	0	0	1.345	0	0.757	1.474
ACER1	0.4552	0.479	8.419	0.479	0	0	2.864	0.381	4.694
ACER2	0.4485	0	6.481	0	0	0	1.556	0	4.925
ACER3	0.4551	0.303	4.15	0.303	0	0	0.909	0	2.937
ACHE	0.5688	0.086	20.483	0	0	0.086	6.445	0	13.952
ACIN1	4.7228	0	9.538	0	0	0	0	0	9.538
ACKR1	0.5769	0	3.367	0	0	0	0	1.126	2.241
ACKR2	0.4131	0	2.741	0	0	0	0.553	0.446	1.742
ACKR3	0.5371	0	1.196	0	0	0	0.909	0	0.287
ACKR4	0.3863	0	1.041	0	0	0	0	0	1.041
ACLY	0.4656	1.68	23.184	0	0	1.68	3.599	3.066	14.838
ACMSD	0.5391	0	3.904	0	0	0	1.257	0.697	1.95
ACO1	0.5013	0.433	14.867	0.433	0	0	11.38	0	3.054
ACO2	8.1278	0.182	57.958	0	0	0.182	2.383	0.351	55.042
ACOD1	0.283	0	2.72	0	0	0	0	2.141	0.58
ACOT1	5.4689	1.819	5.808	0.606	0	1.213	1.507	0	2.482
ACOT11	0.7207	0	2.068	0	0	0	0	0	2.068
ACOT12	0.474	0	15.872	0	0	0	1.917	5.582	8.373
ACOT13	0.4728	2.172	9.582	0	0	2.172	0.39	1.059	5.961
ACOT2	0.5186	4.603	22.787	0	0	4.603	10.044	1.084	7.055
ACOT4	0.6444	7.41	20.548	0	0	7.41	5.568	0	7.57
ACOT7	7.769	0.293	90.093	0.293	0	0	25.74	4.427	59.633
ACOT8	0.5711	0.602	19.392	0	0	0.602	0	0	18.79
ACOT9	3.4249	0	14.9855	0	0	0	2.146	1.635	11.2045
ACOX1	0.5258	0.337	7.631	0	0	0.337	3.052	0	4.241
ACOX2	0.2021	0	11.178	0	0	0	3.01	1.195	6.974
ACOX3	0.5935	0.962	9.9	0.208	0	0.754	1.988	0	6.95
ACOXL	0.4952	0	3.64	0	0	0	1.667	1.057	0.915
ACP1	3.9579	0.846	1.359	0	0.303	0.542	0	0	0.514
ACP2	12.5169	1.198	12.55	0	0	1.198	1.96	0	9.391
ACP6	2.0274	0.142	13.983	0	0	0.142	0.219	0	13.622
ACP7	0.6889	0.337	7.783	0	0	0.337	0.406	0.845	6.196
ACPP	0.5885	0.303	6.44	0	0	0.303	1.561	1.217	3.358
ACR	0.4263	0	2.328	0	0	0	0.77	0	1.558
ACRBP	0.3606	1.055	10.596	0	0	1.055	0.434	0	9.107
ACRV1	0.373	0	2.663	0	0	0	0.288	0	2.375
ACSBG1	3.9151	0.666	8.501	0	0	0.666	1.848	0	5.988
ACSBG2	11.5803	0.227	4.798	0	0	0.227	3.189	0	1.382
ACSF2	4.8524	0.247	6.597	0	0	0.247	2.069	1.233	3.048
ACSF3	0.342	0.56	5.639	0.56	0	0	0.789	0.358	3.932
ACSL1	5.3547	0.296	32.556	0	0	0.296	1.691	0	30.569
ACSL3	0.4146	0.84	15.774	0	0	0.84	8.128	0	6.805
ACSL4	6.8835	0.303	3.41	0	0	0.303	0.606	1.365	1.135
ACSL5	0.544	0.455	43.61	0	0	0.455	0	2.712	40.443
ACSL6	2.8628	0	11.437	0	0	0	2.036	1.035	8.366
ACSM1	9.4625	0	2.614	0	0	0	0.606	0.303	1.705
ACSM2A	1.0215	0	8.995	0	0	0	5.627	3.138	0.23
ACSM3	0.4214	0	3.366	0	0	0	0	2.76	0.606
ACSM4	0.5538	0	0.519	0	0	0	0	0	0.519
ACSM5	0.6301	0.303	3.078	0	0	0.303	1.546	0.721	0.508
ACSS1	5.7032	1.382	5.708	0	1.382	0	1.296	0.56	2.47
ACSS2	0.9387	0	11.72	0	0	0	0	6.486	5.234
