gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.8504	0.409	1.414	0.409	0	0	0	0.413	0.591
A1CF	0.1456	0.105	2.939	0	0	0.105	0.646	0.684	1.505
A2M	0.5291	0.782	5.677	0	0	0.782	3.305	1.589	0
A3GALT2	1.1757	1.67	10.812	0	0	1.67	6.665	1.799	0.678
A4GALT	0.7089	0.841	6.094	0.296	0	0.545	0.531	0	4.722
A4GNT	1.0581	0.07	5.35	0	0	0.07	1.894	1.162	2.224
AAAS	0.4091	0.691	5.892	0	0	0.691	0.404	0	4.797
AACS	0.3363	0.568	9.876	0	0	0.568	1.611	0	7.697
AADAC	0.3809	0.053	3.278	0	0.053	0	1.242	1.984	0
AADACL2	0.3412	0.298	1.879	0	0.298	0	0.316	0.722	0.543
AADACL3	0.4754	0.411	19.558	0.411	0	0	0	1.294	17.853
AADAT	0.7081	0.158	4.342	0	0.158	0	2.743	0.969	0.471
AAGAB	0.4932	1.248	7.329	0.774	0	0.474	1.61	0	4.471
AAK1	0.6605	0	3.497	0	0	0	1.712	0.209	1.576
AAMDC	0.4567	0.368	7.796	0	0	0.368	1.509	1.392	4.527
AAMP	0.3095	0	1.488	0	0	0	0	0	1.488
AANAT	0.6763	0.183	5.222	0	0	0.183	1.274	0	3.765
AAR2	0.8373	0.21	3.676	0	0	0.21	0.921	0	2.545
AARD	0.6237	1.317	4.021	0.845	0	0.472	0	0	2.704
AARS	0.5449	1.561	7.431	0	0	1.561	0.712	0	5.158
AARS2	0.5002	0.285	6.557	0	0	0.285	1.396	0.455	4.421
AARSD1	1.2347	2.167	8.53	0	0	2.167	3.203	0	3.16
AASDH	0.3589	0	7.726	0	0	0	1.324	0.185	6.217
AASDHPPT	0.6622	0.123	1.648	0	0.123	0	0.579	0.682	0.263
AASS	0.4994	0.053	2.776	0	0.053	0	0	2.259	0.465
AATF	0.8887	1.01	9.701	0	0	1.01	0	1.017	7.674
AATK	0.6891	0	0	0	0	0	0	0	0
ABAT	0.3695	0	19.876	0	0	0	4.365	0	15.511
ABCA1	0.3896	0.316	6.623	0	0.316	0	4.678	1.629	0
ABCA12	2.1241	0	1.555	0	0	0	0.482	0.368	0.705
ABCA13	0.721	0.562	8.817	0	0.562	0	3.485	0	4.77
ABCA2	0.6181	0	1.329	0	0	0	0.361	0.118	0.85
ABCA3	0.7409	0	10.076	0	0	0	2.551	2.29	5.235
ABCA4	0.7693	0.183	5.625	0	0	0.183	0.649	1.233	3.56
ABCA5	0.4345	0	2.031	0	0	0	0.582	0.087	1.362
ABCA6	0.85	1.343	21.954	0.438	0	0.905	3.685	9.922	7.003
ABCA7	0.4253	1.798	11.62	0	0	1.798	0.481	0	9.341
ABCA8	0.75	0.245	5.903	0.129	0.116	0	2.761	1.349	1.547
ABCA9	0.4421	0.541	8.727	0	0.541	0	6.169	1.275	0.743
ABCB1	0.3891	0.652	0.976	0	0.652	0	0.323	0	0
ABCB10	1.3168	0.231	7.696	0	0	0.231	2.807	0.053	4.605
ABCB11	0.3562	0.474	1.899	0	0	0.474	0.18	0.875	0.37
ABCB4	0.5871	0	14.51	0	0	0	5.762	6.016	2.731
ABCB5	1.2007	0.197	7.641	0	0.197	0	2.452	0.421	4.571
ABCB6	0.392	0.142	4.716	0	0	0.142	0.959	0.507	3.109
ABCB7	0.0853	0.21	2.777	0	0	0.21	0.237	1.309	1.021
ABCB8	0.5139	0.703	3.851	0	0	0.703	0.646	0	2.502
ABCB9	3.2325	0.07	7.847	0	0	0.07	2.827	1.11	3.841
ABCC1	0.4737	0.525	11.237	0	0	0.525	0	1.173	9.539
ABCC10	0.6025	0.07	3.395	0	0	0.07	0.808	0	2.518
ABCC12	1.7242	0	8.853	0	0	0	6.567	0	2.286
ABCC2	0.0351	0.105	4.197	0	0	0.105	0.505	0.643	2.944
ABCC3	0.544	0	3.703	0	0	0	0	0	3.703
ABCC4	4.6536	0.447	8.337	0	0.447	0	0	1.394	6.495
ABCC5	1.6482	0.493	4.646	0.173	0	0.32	0.45	2.033	1.669
ABCC6	0.4311	0	6.43	0	0	0	1.298	1.239	3.894
ABCC8	0.7341	0	5.92	0	0	0	2.826	0	3.094
ABCC9	1.1361	0.407	2.204	0	0	0.407	0	0.391	1.405
ABCD1	0.3274	0.228	2.531	0	0	0.228	0.105	0.837	1.36
ABCD2	0.5779	1.356	36.829	0	0	1.356	17.808	5.192	12.474
ABCD3	0.7934	0.442	4.332	0.284	0.158	0	2.066	0.505	1.319
ABCD4	0.3098	0.939	6.164	0	0	0.939	0.907	0	4.317
ABCE1	0.4247	0.053	6.832	0	0	0.053	0.34	1.401	5.038
ABCF1	0.4808	0.65	4.474	0	0	0.65	1.249	0	2.575
ABCF2	0.5751	0.943	4.906	0.158	0.105	0.68	0.368	0.215	3.379
ABCF3	0.4024	0.44	17.831	0	0	0.44	0.719	1.889	14.782
ABCG1	0.3075	0.577	5.884	0	0.577	0	5.307	0	0
ABCG2	0.5364	0	1.225	0	0	0	0.228	0.105	0.891
ABCG4	0.4748	0.434	6.213	0	0	0.434	0	0	5.78
ABCG5	1.4568	0.263	9.042	0	0.158	0.105	2.446	0	6.334
ABCG8	0.3417	0	8.297	0	0	0	2.352	1.053	4.892
ABHD10	0.4909	0.16	4.156	0	0	0.16	0.795	0.525	2.675
ABHD11	0.3701	0	38.453	0	0	0	0.702	0	37.752
ABHD12	0.7684	0	1.012	0	0	0	0	0.376	0.636
ABHD12B	0.5034	0.31	5.48	0	0	0.31	1.105	0.114	3.95
ABHD13	0.3404	0.105	1.255	0	0	0.105	0.629	0.158	0.363
ABHD14A	1.1584	0.935	4.817	0	0	0.935	0.252	0	3.63
ABHD14B	1.1592	0.58	2.874	0	0	0.58	0.353	0	1.941
ABHD15	0.5055	0.838	6.371	0	0	0.838	0.055	0	5.479
ABHD16A	1.2067	1.019	14.161	0	0	1.019	5.107	0.44	7.595
ABHD16B	0.5522	0.65	6.502	0.58	0	0.07	1.448	0	4.404
ABHD17A	0.5753	0.622	2.184	0	0	0.622	0	0	1.562
ABHD17B	0.1412	0.286	5.752	0	0	0.286	0.746	0.687	4.033
ABHD17C	0.9104	0.105	6.242	0	0	0.105	4.049	0.192	1.896
ABHD18	0.3063	0	2.412	0	0	0	0.221	0	2.191
ABHD2	0.4337	0.053	4.446	0	0	0.053	0.477	0.506	3.411
ABHD3	1.1416	0.531	6.885	0	0	0.531	0.558	0.516	5.28
ABHD4	0.4482	0.487	7.222	0	0	0.487	0.649	1.11	4.975
ABHD5	0.8707	0.237	5.982	0	0	0.237	1.968	0	3.778
ABHD6	0.5252	0.088	6.071	0	0	0.088	0.497	1.184	4.302
ABHD8	1.3343	0.497	14.939	0	0	0.497	5.706	0	8.736
ABI1	0.372	0.263	2.635	0	0	0.263	0.298	0.46	1.614
ABI2	0.4008	1.156	8.951	0	0	1.156	1.913	0	5.883
ABI3	0.4108	0	6.36	0	0	0	0	0	6.36
ABL1	0.5941	1.01	25.069	0	0	1.01	1.042	0	23.017
ABL2	1.7243	0.21	8.403	0	0	0.21	0.439	2.117	5.637
ABLIM1	0.1196	0	2.521	0	0	0	0.468	1.306	0.747
ABLIM2	0.2997	0	6.846	0	0	0	1.084	2.08	3.682
ABLIM3	0.3996	0.287	10.371	0.287	0	0	2.65	1.894	5.54
ABO	0.3163	4.116	7.444	4.116	0	0	1.394	0	1.935
ABR	1.6286	0.096	2.349	0	0	0.096	0	0	2.253
ABRA	0.6898	0.289	1.363	0	0	0.289	0	0.234	0.84
ABRACL	3.3924	0.246	4.959	0.246	0	0	2.364	0.401	1.949
ABT1	0.2425	0.245	2.335	0	0.105	0.14	0.941	0.21	0.939
ABTB1	0.3918	0	3.289	0	0	0	1.317	0.174	1.799
ABTB2	0.3389	0	3.341	0	0	0	1.415	0.368	1.558
ACAA1	0.1515	0	0.92	0	0	0	0	0	0.92
ACAA2	0.2089	0.105	6.812	0	0	0.105	1.407	1.393	3.906
ACACA	0.3511	0.317	5.602	0	0	0.317	0.279	0.286	4.72
ACACB	0.41	2.494	17.519	0	0	2.494	3.784	0.74	10.501
ACAD10	0.2171	0.158	10.261	0	0	0.158	1.011	0.246	8.846
