gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.8209	0.883	1.62	0.883	0	0	0	0.369	0.368
A1CF	0.5397	0.552	5.391	0	0	0.552	0.928	2.16	1.75
A2M	0.7097	0.184	2.534	0	0	0.184	1.087	1.264	0
A3GALT2	0.7721	0.818	8.871	0	0	0.818	1.765	1.605	4.683
A4GALT	0.4541	0.552	6.458	0	0	0.552	0.434	0	5.472
A4GNT	0.7214	0	3.525	0	0	0	1.132	0.442	1.951
AAAS	1.6618	4.913	36.399	0	0	4.913	1.763	0	29.723
AACS	0.9639	0.901	22.326	0	0	0.901	1.689	0	19.736
AADAC	2.4082	0	5.708	0	0	0	2.126	3.581	0
AADACL2	1.4861	1.288	4.537	0	1.288	0	1.348	0.552	1.349
AADACL3	0.7572	0.184	5.213	0.184	0	0	0	0.572	4.457
AADAT	0.3618	0	6.164	0	0	0	3.703	1.909	0.552
AAGAB	0.7938	0.546	9.258	0.262	0	0.285	1.623	0	7.089
AAK1	0.5289	0	6.62	0	0	0	1.074	2.179	3.368
AAMDC	0.5682	0.675	31.683	0	0	0.675	5.787	6.722	18.5
AAMP	0.6955	0	2.176	0	0	0	0	0	2.176
AANAT	0.5883	0.211	8.698	0	0	0.211	2.357	0	6.131
AAR2	0.6774	0.304	9.617	0	0	0.304	0.397	0	8.916
AARD	0.5076	1.044	4.888	0.619	0	0.425	0	0	3.844
AARS	2.6557	0.208	21.343	0	0	0.208	1.021	0	20.114
AARS2	0.7092	0.659	11.887	0	0	0.659	2.481	1.239	7.507
AARSD1	0.913	6.423	23.778	0	0	6.423	5.282	0	12.073
AASDH	1.4648	0	34.116	0	0	0	3.423	2.799	27.895
AASDHPPT	0.6919	2.771	22.423	0	2.771	0	9.899	6.623	3.129
AASS	0.4571	0.184	3.448	0	0.184	0	0	2.323	0.941
AATF	0.6402	1.608	37.568	0	0	1.608	0	8.722	27.238
AATK	0.6608	0	0	0	0	0	0	0	0
ABAT	2.2059	0	14.936	0	0	0	1.56	0	13.375
ABCA1	1.6563	4.738	16.629	0	4.738	0	7.472	4.42	0
ABCA12	0.6342	0	2.682	0	0	0	0.555	1.157	0.97
ABCA13	0.639	1.962	7.422	0	1.962	0	3.227	0	2.233
ABCA2	1.5425	0	2.394	0	0	0	0.578	0.167	1.649
ABCA3	0.4741	0	10.019	0	0	0	3.113	1.635	5.272
ABCA4	0.6369	0	4.17	0	0	0	0.552	1.594	2.024
ABCA5	2.8875	0	3.698	0	0	0	1.247	0.343	2.107
ABCA6	0.5786	2.326	21.635	1.104	0	1.222	3.793	10.095	5.421
ABCA7	0.5359	1.17	16.748	0	0	1.17	2.125	0	13.454
ABCA8	0.5218	0.981	9.5	0.736	0.245	0	4.257	1.431	2.832
ABCA9	0.7052	0.576	9.118	0	0.576	0	4.972	1.731	1.838
ABCB1	0.5691	0.736	1.483	0	0.736	0	0.748	0	0
ABCB10	0.5313	2.595	46.507	0	0	2.595	6.354	0.81	36.748
ABCB11	2.2862	0.368	2.961	0	0	0.368	0	1.624	0.969
ABCB4	0.545	0	10.631	0	0	0	2.975	4.22	3.436
ABCB5	0.5803	0.184	3.128	0	0.184	0	0.736	0.368	1.84
ABCB6	0.5755	1.024	20.566	0	0	1.024	1.365	2.088	16.089
ABCB7	0.2518	0.92	15.489	0	0	0.92	0.66	7.943	5.966
ABCB8	0.5788	0.57	9.929	0	0	0.57	1.491	0	7.868
ABCB9	0.7175	0.552	35.568	0	0	0.552	15.882	3.518	15.616
ABCC1	0.5797	1.091	21.003	0	0	1.091	0	3.418	16.493
ABCC10	0.7468	0.301	3.439	0	0	0.301	0.184	0	2.955
ABCC12	0.6085	0	5.803	0	0	0	5.02	0	0.783
ABCC2	0	0.263	6.128	0	0	0.263	0.601	1.418	3.847
ABCC3	1.6709	0	9.263	0	0	0	0	0	9.263
