gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.5519	0.606	2.183	0.606	0	0	0	0.522	1.055
A1CF	0.433	0.391	6.105	0	0	0.391	1.351	1.011	3.351
A2M	1.1389	1.741	17.817	0	0	1.741	7.07	9.006	0
A3GALT2	3.6133	0.443	4.745	0	0	0.443	1.326	0.569	2.407
A4GALT	1.2339	0.639	7.846	0.124	0	0.515	0.727	0	6.48
A4GNT	0.2941	0.056	12.094	0	0	0.056	5.508	0.788	5.742
AAAS	0.6738	0.621	7.662	0	0	0.621	0.693	0	6.348
AACS	0.583	0.754	17.213	0	0	0.754	2.636	0	13.823
AADAC	0.5652	0.149	7.852	0	0.149	0	2.312	5.391	0
AADACL2	0.7856	0.307	4.117	0	0.307	0	1.532	1.368	0.91
AADACL3	0.8588	0.36	18.186	0.36	0	0	0	1.124	16.702
AADAT	1.5491	0.212	10.324	0	0.212	0	6.473	2.784	0.855
AAGAB	0.6071	0.44	8.32	0.283	0	0.157	3.716	0	4.164
AAK1	2.3994	0	6.71	0	0	0	2.28	0.431	3.999
AAMDC	0.5812	0.402	13.96	0	0	0.402	3.226	2.051	8.28
AAMP	0.3384	0	3.523	0	0	0	0	0	3.523
AANAT	2.0083	0.402	11.315	0	0	0.402	3.168	0	7.744
AAR2	0.5808	0.507	7.465	0	0	0.507	1.326	0	5.633
AARD	3.307	1.703	5.983	0.894	0	0.808	0	0	4.281
AARS	0.4493	0.987	10.647	0	0	0.987	0.997	0	8.663
AARS2	0.6001	0.139	13.008	0	0	0.139	2.566	1.417	8.888
AARSD1	0.6548	1.762	7.904	0	0	1.762	2.381	0	3.76
AASDH	0.6673	0	10.496	0	0	0	1.267	0.431	8.799
AASDHPPT	1.4628	0.123	1.865	0	0.123	0	0.528	0.898	0.317
AASS	2.1262	0.224	4.179	0	0.224	0	0	3.167	0.789
AATF	1.2462	1.451	12.743	0	0	1.451	0	2.14	9.152
AATK	0.7489	0	0	0	0	0	0	0	0
ABAT	0.4901	0	88.084	0	0	0	15.975	0	72.11
ABCA1	0.4887	0.279	6.224	0	0.279	0	3.67	2.274	0
ABCA12	0.6615	0	1.783	0	0	0	0.559	0.447	0.777
ABCA13	1.8142	1.301	22.705	0	1.301	0	9.15	0	12.253
ABCA2	1.4911	0	2.516	0	0	0	0.678	0.606	1.232
ABCA3	2.7746	0	15.446	0	0	0	3.397	3.536	8.512
ABCA4	2.9681	0.413	12.238	0	0	0.413	1.24	2.825	7.76
ABCA5	0.455	0	3.754	0	0	0	1.276	0.548	1.93
ABCA6	0.6141	2.216	23.093	1.239	0	0.976	5.269	8.241	7.367
ABCA7	0.6678	0.56	9.029	0	0	0.56	0.762	0	7.706
ABCA8	0.9964	0.984	8.878	0.681	0.303	0	4.313	1.517	2.064
ABCA9	0.9766	0.407	11.414	0	0.407	0	7.485	1.465	2.057
ABCB1	1.1675	0.838	2.15	0	0.838	0	1.311	0	0
ABCB10	0.1918	0.503	9.476	0	0	0.503	2.327	0.056	6.59
ABCB11	0.7626	0.261	3.795	0	0	0.261	0.43	1.662	1.442
ABCB4	0.5437	0	9.089	0	0	0	2.276	3.977	2.837
ABCB5	0.8492	0.389	11.428	0	0.389	0	2.131	0.872	8.036
ABCB6	0.8474	0.213	7.26	0	0	0.213	1.274	0.832	4.941
ABCB7	0.1321	0.168	2.982	0	0	0.168	0.335	1.35	1.13
ABCB8	1.1804	0.957	8.587	0	0	0.957	1.173	0	6.457
ABCB9	0.5938	0.712	15.105	0	0	0.712	4.801	2.41	7.181
ABCC1	0.4338	0.735	20.27	0	0	0.735	0	2.353	17.182
ABCC10	0.7916	0.139	6.575	0	0	0.139	1.306	0	5.13
ABCC12	0.902	0	21.232	0	0	0	14.317	0	6.915
ABCC2	0	0.168	11.585	0	0	0.168	0.857	1.25	9.311
ABCC3	0.5524	0	5.4	0	0	0	0	0	5.4
