gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.59	0.376	0.894	0.376	0	0	0	0.188	0.33
A1CF	1.5064	0.527	12.409	0	0	0.527	3.837	1.939	6.107
A2M	1.0694	0.188	3.016	0	0	0.188	0.878	1.95	0
A3GALT2	1.4803	0.188	3.976	0	0	0.188	1.377	1.319	1.091
A4GALT	0.6921	4.374	25.83	0.645	0	3.729	1.459	0	19.997
A4GNT	0.755	0.188	11.066	0	0	0.188	3.393	0.547	6.937
AAAS	0.4582	1.316	7.639	0	0	1.316	0.411	0	5.912
AACS	0.6836	0.67	10.965	0	0	0.67	1.16	0	9.135
AADAC	0.661	0.473	19.346	0	0.473	0	8.608	10.265	0
AADACL2	1.32	2.031	14.054	0	2.031	0	3.077	4.875	4.071
AADACL3	0.6174	0.376	9.515	0.376	0	0	0	0.429	8.71
AADAT	1.3484	0	7.98	0	0	0	5.607	1.997	0.376
AAGAB	0.5205	1.541	9.023	0.55	0	0.991	4.56	0	2.921
AAK1	1.6152	0	3.439	0	0	0	0.566	0.576	2.297
AAMDC	0.6508	0.564	14.57	0	0	0.564	3.179	1.042	9.784
AAMP	1.041	0	2.317	0	0	0	0	0	2.317
AANAT	1.2743	0.097	5.536	0	0	0.097	1.069	0	4.371
AAR2	0.8947	0.491	3.445	0	0	0.491	0.555	0	2.4
AARD	0.5653	2.642	18.344	1.755	0	0.887	0	0	15.703
AARS	0.4723	0.267	9.079	0	0	0.267	1.16	0	7.652
AARS2	0.4202	0.245	7.022	0	0	0.245	1.07	0.871	4.836
AARSD1	0.5155	1.777	8.909	0	0	1.777	1.869	0	5.263
AASDH	0.5707	0	7.376	0	0	0	2.156	0.152	5.068
AASDHPPT	0.9029	0.512	2.806	0	0.512	0	0.653	1.331	0.309
AASS	1.3285	0	4.728	0	0	0	0	3.453	1.275
AATF	0.4232	0.751	11.292	0	0	0.751	0	0.911	9.629
AATK	0.705	0	0	0	0	0	0	0	0
ABAT	0.3876	0	64.452	0	0	0	12.688	0	51.764
ABCA1	0.488	1.533	7.909	0	1.533	0	4.595	1.781	0
ABCA12	0.9149	0	2.542	0	0	0	0.96	0.564	1.017
ABCA13	0.6442	0.188	9.595	0	0.188	0	5.453	0	3.953
ABCA2	0.4575	0	1.121	0	0	0	0.212	0.252	0.658
ABCA3	0.4015	0	9.446	0	0	0	3.386	2.024	4.035
ABCA4	1.0843	0.188	7.61	0	0	0.188	1.158	1.921	4.342
ABCA5	0.525	0	4.584	0	0	0	1.253	1.554	1.778
ABCA6	1.4714	5.549	32.839	2.595	0	2.955	6.399	12.387	8.504
ABCA7	1.4765	0.084	4.125	0	0	0.084	0.185	0	3.856
ABCA8	1.1516	2.773	22.679	1.872	0.902	0	12.336	2.187	5.382
ABCA9	0.7408	0.366	9.198	0	0.366	0	6.822	0.761	1.248
ABCB1	0.7021	1.434	2.514	0	1.434	0	1.079	0	0
ABCB10	0.5568	0.423	8.418	0	0	0.423	1.872	0.251	5.872
ABCB11	0.5191	0.376	5.539	0	0	0.376	0.188	1.214	3.761
ABCB4	0.5327	0	5.32	0	0	0	1.782	2.364	1.175
ABCB5	1.6687	0.188	2.769	0	0.188	0	0.825	0.188	1.567
ABCB6	1.8857	0.194	5.514	0	0	0.194	2.172	0.142	3.006
ABCB7	0.2736	0.752	5.109	0	0	0.752	0.884	2.316	1.156
ABCB8	1.3942	0.592	7.293	0	0	0.592	1.106	0	5.595
