gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.6498	0.484	0.888	0.484	0	0	0	0	0.405
A1CF	0.4628	0.967	2.389	0	0	0.967	0.945	0	0.476
A2M	1.4395	0.851	4.367	0	0	0.851	1.719	1.797	0
A3GALT2	0.9629	0.318	4.003	0	0	0.318	1.115	0.284	2.287
A4GALT	1.1601	5.327	20.815	1.694	0	3.633	2.361	0	13.127
A4GNT	0.5959	0	7.075	0	0	0	4.576	1.14	1.359
AAAS	0.7018	1.791	17.618	0	0	1.791	0.477	0	15.35
AACS	1.5931	0.787	25.527	0	0	0.787	2.959	0	21.781
AADAC	0.638	0	4.826	0	0	0	1.695	3.131	0
AADACL2	1.332	0.242	4.433	0	0.242	0	1.693	0.806	1.693
AADACL3	0.9534	0	5.368	0	0	0	0	0.387	4.981
AADAT	1.3807	0	6.482	0	0	0	4.365	1.149	0.967
AAGAB	1.8481	0.647	17.528	0.253	0	0.395	6.819	0	10.061
AAK1	0.9181	0	13.361	0	0	0	3.325	2.818	7.218
AAMDC	1.0333	0.634	8.644	0	0	0.634	2.422	1.158	4.431
AAMP	0.5165	0	2.33	0	0	0	0	0	2.33
AANAT	2.5915	0.366	17.066	0	0	0.366	4.499	0	12.201
AAR2	0.7889	1.337	13.744	0	0	1.337	1.611	0	10.796
AARD	0.6102	0.792	4.049	0.346	0	0.446	0	0	3.257
AARS	1.1146	3.254	19.179	0	0	3.254	0.736	0	15.189
AARS2	1.8911	0.272	25.339	0	0	0.272	7.406	1.166	16.496
AARSD1	1.8542	1.171	6.511	0	0	1.171	2.314	0	3.025
AASDH	0.8871	0	14.098	0	0	0	1.727	0	12.371
AASDHPPT	0.5677	0	4.047	0	0	0	1.461	1.939	0.647
AASS	0.7966	0	1.923	0	0	0	0	1.627	0.295
AATF	1.1837	1.721	8.292	0	0	1.721	0	1.319	5.252
AATK	1.8792	0	0	0	0	0	0	0	0
ABAT	0.8273	0	10.877	0	0	0	2.891	0	7.986
ABCA1	1.6359	0	7.931	0	0	0	4.279	3.651	0
ABCA12	0.8879	0	1.655	0	0	0	0.446	0.484	0.725
ABCA13	0.6188	0.484	8.607	0	0.484	0	3.177	0	4.947
ABCA2	1.1536	0	6.429	0	0	0	2.778	2.094	1.556
ABCA3	1.0605	0	13.312	0	0	0	4.104	2.549	6.659
ABCA4	1.9123	0.335	18.614	0	0	0.335	1.337	3.852	13.09
ABCA5	1.229	0	2.737	0	0	0	0.472	0	2.265
ABCA6	1.7438	4.778	30.113	3.354	0	1.424	8.176	7.236	9.924
ABCA7	1.121	0.376	9.153	0	0	0.376	0.553	0	8.224
ABCA8	1.9846	2.119	10.736	1.755	0.364	0	4.733	1.936	1.949
ABCA9	1.7879	1.097	13.673	0	1.097	0	7.302	4.217	1.057
ABCB1	0.8113	1.133	5.595	0	1.133	0	4.462	0	0
ABCB10	0.3779	0.641	11.508	0	0	0.641	1.327	0	9.54
ABCB11	0.9308	0	5.03	0	0	0	1.877	2.831	0.322
