gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.323	2.343	1.323	0	0	0	0	1.019
A1CF	0	0.363	0	0	0	0.059	0	0.305
A2M	0	0.03	0	0	0	0.03	0	0
A3GALT2	0.027	0.56	0	0	0.027	0.069	0.24	0.225
A4GALT	1.479	10.64	0.973	0	0.506	0.579	0	8.582
A4GNT	1.25	7.42	0	0	1.25	1.72	1.25	3.201
AAAS	3.517	22.4	0	0	3.517	0.689	0	18.194
AACS	1.8	67.342	0	0	1.8	4.996	0	60.546
AADAC	0.627	11.426	0	0.627	0	2.316	8.483	0
AADACL2	0.054	0.207	0	0.054	0	0.081	0.045	0.027
AADACL3	0	3.824	0	0	0	0	1.066	2.757
AADAT	0	3.892	0	0	0	2.651	0.392	0.849
AAGAB	0.031	1.691	0.013	0	0.018	0.797	0	0.863
AAK1	0	20.861	0	0	0	2.383	9.053	9.425
AAMDC	0.667	5.847	0	0	0.667	1.167	0.582	3.431
AAMP	0	9.692	0	0	0	0	0	9.692
AANAT	0.66	11.624	0	0	0.66	3.298	0	7.666
AAR2	0.143	1.672	0	0	0.143	0.158	0	1.37
AARD	0	5.4	0	0	0	0	0	5.4
AARS	1.326	137.85	0	0	1.326	19.274	0	117.251
AARS2	0.02	1.343	0	0	0.02	0.255	0.342	0.726
AARSD1	0.098	0.491	0	0	0.098	0.162	0	0.231
AASDH	0	10.692	0	0	0	1.591	0	9.101
AASDHPPT	1.902	12.645	0	1.902	0	3.984	3.312	3.447
AASS	0	2.477	0	0	0	0	2.477	0
AATF	0.11	0.777	0	0	0.11	0	0.071	0.597
AATK	0	0	0	0	0	0	0	0
ABAT	0	0.354	0	0	0	0.061	0	0.294
ABCA1	0	0.12	0	0	0	0.088	0.032	0
ABCA12	0	0.368	0	0	0	0.368	0	0
ABCA13	0	5.574	0	0	0	4.559	0	1.015
ABCA2	0	2.789	0	0	0	1.36	0.375	1.054
ABCA3	0	48.367	0	0	0	9.929	6.218	32.219
ABCA4	0	2.634	0	0	0	0	0.926	1.708
ABCA5	0	3.549	0	0	0	1.006	0.32	2.223
ABCA6	1.283	12.18	0.275	0	1.008	2.445	4.692	3.76
ABCA7	1.695	151.225	0	0	1.695	4.956	0	144.574
ABCA8	0.093	1.48	0	0.093	0	0.808	0.14	0.44
ABCA9	0	4.35	0	0	0	3.858	0.238	0.254
ABCB1	2.783	2.783	0	2.783	0	0	0	0
ABCB10	2.044	192.333	0	0	2.044	130.13	1.36	58.8
ABCB11	0	0.511	0	0	0	0	0.217	0.294
ABCB4	0	175.099	0	0	0	1.508	115.037	58.555
ABCB5	0	2.401	0	0	0	0	0	2.401
ABCB6	0.683	26.515	0	0	0.683	1.079	0.156	24.596
ABCB7	0	2.315	0	0	0	0.709	1.134	0.472
ABCB8	42.553	147.818	0	0	42.553	2.51	0	102.755
ABCB9	0	36.352	0	0	0	19.985	3.8	12.567
ABCC1	9.421	269.348	0	0	9.421	0	19.608	240.319
ABCC10	0	0.233	0	0	0	0	0	0.233
ABCC12	0	6.269	0	0	0	4.257	0	2.012
ABCC2	0	4.905	0	0	0	1.24	0.685	2.979
ABCC3	0	0.32	0	0	0	0	0	0.32
ABCC4	0	1.322	0	0	0	0	0	1.322
ABCC5	0.55	12.338	0	0	0.55	1.895	7.671	2.221
ABCC6	0	0.398	0	0	0	0.17	0.044	0.184
ABCC8	0	1.242	0	0	0	0.586	0	0.656
ABCC9	0	0.401	0	0	0	0	0.401	0
ABCD1	2.975	27.711	0	0	2.975	0.532	13.469	10.735
ABCD2	0	2.072	0	0	0	0.691	0	1.381
ABCD3	0	0.485	0	0	0	0.322	0.123	0.039
ABCD4	1.984	11.336	0	0	1.984	3.189	0	6.164
ABCE1	0.975	36.954	0	0	0.975	4.414	8.279	23.286
ABCF1	0.62	6.827	0	0	0.62	1.687	0	4.52
ABCF2	0.066	0.872	0.027	0	0.039	0.045	0.055	0.706
ABCF3	0.016	1.557	0	0	0.016	0.005	0.171	1.364
ABCG1	0	1.332	0	0	0	1.332	0	0
ABCG2	0	1.252	0	0	0	0.57	0	0.682
ABCG4	1.331	15.775	0	0	1.331	0	0	14.444
ABCG5	0.641	12.32	0	0.641	0	1.729	0	9.949
ABCG8	0	0.724	0	0	0	0.207	0.239	0.278
ABHD10	0	0.826	0	0	0	0.19	0.058	0.578
ABHD11	1.785	196.668	0	0	1.785	65.264	0	129.618
ABHD12	0	0.039	0	0	0	0	0.03	0.009
ABHD12B	0.092	1.941	0	0	0.092	0.482	0.272	1.094
ABHD13	0	84.88	0	0	0	70.103	14.046	0.73
ABHD14A	0.05	1.487	0	0	0.05	0.024	0	1.413
ABHD14B	0.043	1.49	0	0	0.043	0.073	0	1.374
ABHD15	0.099	1.691	0	0	0.099	0.146	0	1.445
ABHD16A	14.29	65.161	0	0	14.29	8.326	1.521	41.025
ABHD16B	4.937	139.259	0	0	4.937	5.053	0	129.269
ABHD17A	3.783	20.589	0	0	3.783	0	0	16.806
ABHD17B	0.167	9.26	0	0	0.167	0.432	2.425	6.236
ABHD17C	0	8.764	0	0	0	4.695	0.407	3.662
ABHD18	0	0.106	0	0	0	0.012	0	0.094
ABHD2	0.011	2.645	0	0	0.011	0.031	1.549	1.053
ABHD3	0.633	9.355	0	0	0.633	1.256	1.302	6.164
ABHD4	0.033	3.175	0	0	0.033	0.06	2.171	0.911
ABHD5	0.565	62.575	0	0	0.565	8.913	0	53.097
ABHD6	0.056	0.281	0	0	0.056	0.07	0.022	0.133
ABHD8	2.03	21.594	0	0	2.03	8.326	0	11.237
ABI1	0.219	0.494	0	0	0.219	0.049	0.027	0.2
ABI2	6.917	29.479	0	0	6.917	3.807	0	18.754
ABI3	0	33.831	0	0	0	0	0	33.831
ABL1	0.041	2.987	0	0	0.041	0.11	0	2.835
ABL2	0.127	2.301	0	0	0.127	0.093	0.234	1.846
ABLIM1	0	0.189	0	0	0	0	0.058	0.132
ABLIM2	0	0.05	0	0	0	0.023	0	0.026
ABLIM3	0.012	0.164	0.012	0	0	0.023	0.026	0.104
ABO	0.049	0.069	0.049	0	0	0	0	0.02
ABR	0.932	14.995	0	0	0.932	0	0	14.063
ABRA	0	0.075	0	0	0	0	0.021	0.054
ABRACL	0	0.166	0	0	0	0.069	0	0.097
ABT1	0.858	9.944	0	0	0.858	1.542	3.207	4.337
ABTB1	0	25.569	0	0	0	5.925	0.537	19.107
ABTB2	0	9.935	0	0	0	4.046	0.632	5.257
ACAA1	0	9.03	0	0	0	0	0	9.03
ACAA2	1.086	66.161	0	0	1.086	11.548	12.783	40.744
ACACA	2.026	24.17	0	0	2.026	0.813	1.777	19.553
ACACB	5.387	75.005	0	0	5.387	7.228	1.74	60.65
ACAD10	10.145	29.488	0	0	10.145	0.781	0	18.562
ACAD11	0	40.043	0	0	0	1.508	1.018	37.518
ACAD8	0	11.351	0	0	0	5.238	1.819	4.295
ACAD9	0	156.401	0	0	0	7.549	9.09	139.762
ACADL	0	21.186	0	0	0	2.947	10.809	7.43
ACADM	1.34	6.849	0.222	0	1.118	1.897	0	3.612
ACADS	10.279	31.307	0	1.185	9.094	1.221	0.999	18.808
ACADSB	8.921	21.309	0	2.536	6.385	4.509	0.782	7.097
ACADVL	0	10.395	0	0	0	2.812	0	7.584
ACAP1	0	5.939	0	0	0	0	0	5.939
ACAP2	1.747	2.835	1.747	0	0	0	0	1.088
ACAP3	0	0	0	0	0	0	0	0
ACAT1	0	20.636	0	0	0	7.652	4.704	8.281
ACAT2	2.194	36.503	0	0	2.194	2.244	0	32.065
ACBD3	4.779	136.074	0	0	4.779	15.871	0	115.424
ACBD4	1.962	11.225	0	0	1.962	0	0	9.263
ACBD5	0.991	5.803	0	0	0.991	0.79	1.274	2.748
ACBD6	0	2.314	0	0	0	0.353	0.518	1.443
ACBD7	0.352	0.949	0	0	0.352	0.386	0	0.212
ACCS	0	0.302	0	0	0	0.035	0.036	0.231
ACCSL	0.584	19.045	0	0	0.584	14.446	0	4.015
ACD	1.574	3.304	0	0	1.574	0	0	1.73
ACE	0	10.399	0	0	0	0	0.896	9.503
ACE2	0.05	0.663	0	0.05	0	0.05	0.195	0.368
ACER1	4.758	40.756	2.486	0	2.272	5.292	3.028	27.678
ACER2	0	15.788	0	0	0	2.882	0	12.906
ACER3	0.95	8.521	0	0	0.95	0.95	0	6.621
ACHE	0.319	40.908	0	0	0.319	16.777	0	23.812
ACIN1	0	0.14	0	0	0	0	0	0.14
ACKR1	0	2.731	0	0	0	0	1.888	0.843
ACKR2	0	4.537	0	0	0	2.281	1.069	1.187
ACKR3	0	1.52	0	0	0	1.52	0	0
ACKR4	0	9.097	0	0	0	0	0	9.097
ACLY	4.291	53.581	0	0	4.291	8.817	14.608	25.866
ACMSD	0	7.643	0	0	0	2.823	0.948	3.872
ACO1	1.407	58.029	1.407	0	0	38.031	0	18.59
ACO2	0.016	4.155	0	0	0.016	0.08	0.088	3.972
ACOD1	0	7.387	0	0	0	0	5.328	2.059
ACOT1	0.035	0.059	0	0	0.035	0.012	0	0.012
ACOT11	0	3.406	0	0	0	0	0	3.406
ACOT12	0	13.777	0	0	0	2.948	2.941	7.888
ACOT13	4.376	25.573	0	0	4.376	0.557	2.253	18.387
ACOT2	35.846	86.158	0	0	35.846	24.232	1.692	24.387
ACOT4	0.979	5.639	0	0.26	0.719	2.134	0	2.525
ACOT7	0.009	2.6	0.009	0	0	0.718	0.152	1.721
ACOT8	1.488	69.479	0	0	1.488	0	0	67.991
ACOT9	0	29.5585	0	0	0	2.761	1.912	24.8855
ACOX1	1.572	43.587	0	0	1.572	11.664	0.353	29.998
ACOX2	0	25.036	0	0	0	2.934	2.248	19.853
ACOX3	1.454	15.582	0	0	1.454	3.589	0	10.539
ACOXL	0	11.953	0	0	0	6.774	2.858	2.32
ACP1	0.017	0.109	0	0.017	0	0	0	0.092
ACP2	0.021	0.773	0	0	0.021	0.082	0	0.669
ACP6	0.049	1.936	0	0	0.049	0.027	0	1.861
ACP7	0.661	28.519	0	0	0.661	0.616	2.607	24.636
ACPP	0	11.886	0	0	0	0.688	3.34	7.858
ACR	0	4.407	0	0	0	0.444	0	3.963
