gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.744	1.367	0.744	0	0	0	0	0.623
A1CF	2.09	5.161	0	0	2.09	2.042	0	1.03
A2M	0.591	3.034	0	0	0.591	1.194	1.249	0
A3GALT2	0.331	4.158	0	0	0.331	1.157	0.295	2.375
A4GALT	4.592	17.942	1.46	0	3.132	2.035	0	11.315
A4GNT	0	11.873	0	0	0	7.679	1.913	2.28
AAAS	2.552	25.104	0	0	2.552	0.679	0	21.873
AACS	0.494	16.024	0	0	0.494	1.858	0	13.672
AADAC	0	7.564	0	0	0	2.656	4.908	0
AADACL2	0.182	3.328	0	0.182	0	1.271	0.605	1.271
AADACL3	0	5.63	0	0	0	0	0.406	5.224
AADAT	0	4.695	0	0	0	3.162	0.833	0.701
AAGAB	0.35	9.484	0.137	0	0.214	3.69	0	5.444
AAK1	0	14.552	0	0	0	3.621	3.069	7.862
AAMDC	0.613	8.366	0	0	0.613	2.344	1.121	4.288
AAMP	0	4.512	0	0	0	0	0	4.512
AANAT	0.141	6.585	0	0	0.141	1.736	0	4.708
AAR2	1.694	17.422	0	0	1.694	2.042	0	13.685
AARD	1.298	6.636	0.567	0	0.731	0	0	5.337
AARS	2.919	17.207	0	0	2.919	0.661	0	13.627
AARS2	0.144	13.399	0	0	0.144	3.916	0.617	8.723
AARSD1	0.632	3.511	0	0	0.632	1.248	0	1.631
AASDH	0	15.893	0	0	0	1.947	0	13.946
AASDHPPT	0	7.128	0	0	0	2.574	3.415	1.14
AASS	0	2.414	0	0	0	0	2.043	0.371
AATF	1.454	7.005	0	0	1.454	0	1.114	4.437
AATK	0	0	0	0	0	0	0	0
ABAT	0	13.148	0	0	0	3.494	0	9.654
ABCA1	0	4.848	0	0	0	2.616	2.232	0
ABCA12	0	1.864	0	0	0	0.502	0.545	0.817
ABCA13	0.782	13.909	0	0.782	0	5.134	0	7.994
ABCA2	0	5.573	0	0	0	2.408	1.815	1.349
ABCA3	0	12.553	0	0	0	3.87	2.404	6.279
ABCA4	0.175	9.734	0	0	0.175	0.699	2.014	6.845
ABCA5	0	2.227	0	0	0	0.384	0	1.843
ABCA6	2.74	17.269	1.923	0	0.817	4.689	4.149	5.691
