gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	2.426	5.512	2.426	0	0	0	2.383	0.703
A1CF	0	4.856	0	0	0	1.029	2.056	1.771
A2M	0.896	3.879	0	0	0.896	1.681	1.302	0
A3GALT2	0	8.31	0	0	0	3.817	0.452	4.041
A4GALT	1.823	17.208	0.383	0	1.44	0.54	0	14.845
A4GNT	1.014	7.121	0	0	1.014	0.755	0.971	4.38
AAAS	2.626	28.928	0	0	2.626	1.143	0	25.159
AACS	2.693	39.977	0	0	2.693	2.455	0	34.828
AADAC	1.806	10.114	0	1.806	0	3.581	4.727	0
AADACL2	0.108	0.359	0	0.108	0	0	0.251	0
AADACL3	0	9.906	0	0	0	0	0.449	9.457
AADAT	1.355	20.18	0	1.355	0	13.76	3.71	1.355
AAGAB	1.087	26.999	0.533	0	0.554	7.15	0	18.761
AAK1	0	14.037	0	0	0	3.757	2.334	7.946
AAMDC	1.617	24.524	0	0	1.617	5.232	3.561	14.115
AAMP	0	7.288	0	0	0	0	0	7.288
AANAT	0.451	12.604	0	0	0.451	3.837	0	8.316
AAR2	6.809	65.814	0	0	6.809	1.544	0	57.461
AARD	2.528	10.068	1.597	0	0.931	0	0	7.54
AARS	1.24	42.475	0	0	1.24	1.706	0	39.529
AARS2	0	1.062	0	0	0	0.26	0.187	0.615
AARSD1	3.132	10.627	0	0	3.132	3.123	0	4.371
AASDH	0	24.402	0	0	0	2.644	0.594	21.165
AASDHPPT	1.127	12	0	1.127	0	5.524	5.349	0
AASS	0	5.361	0	0	0	0	3.984	1.377
AATF	2.326	12.562	0	0	2.326	0	1.281	8.954
AATK	0	0	0	0	0	0	0	0
ABAT	0	4.986	0	0	0	0.966	0	4.02
ABCA1	0	0.777	0	0	0	0.505	0.272	0
ABCA12	0	1.878	0	0	0	0.31	0	1.568
ABCA13	0.962	12.244	0	0.962	0	4.243	0	7.04
ABCA2	0	1.677	0	0	0	0.627	0	1.05
ABCA3	0	16.132	0	0	0	4.316	5.682	6.134
ABCA4	1.77	17.636	0	0	1.77	1.656	3.385	10.825
ABCA5	0	0.932	0	0	0	0.373	0	0.56
ABCA6	7.3	54.579	5.193	0	2.107	12.442	16.413	18.425
ABCA7	0.448	4.192	0	0	0.448	0	0	3.744
ABCA8	0.299	8.606	0	0.299	0	3.908	2.172	2.226
ABCA9	0.439	13.415	0	0.439	0	7.132	1.689	4.155
ABCB1	1.855	1.855	0	1.855	0	0	0	0
ABCB10	3.037	36.912	0	0	3.037	7.496	1.206	25.173
ABCB11	0.557	3.271	0	0	0.557	0	2.267	0.447
ABCB4	0	7.362	0	0	0	1.815	4.121	1.426
ABCB5	1.848	8.027	0	1.848	0	2.756	0	3.423
ABCB6	0	9.721	0	0	0	1.538	0	8.183
ABCB7	2.5	10.584	0	0	2.5	0.833	4.75	2.5
ABCB8	2.924	38.153	0	0	2.924	2.8	0	32.429
ABCB9	0.94	11.31	0	0	0.94	3.284	2.003	5.084
ABCC1	4.297	47.389	0	0	4.297	0	6.148	36.944
ABCC10	0.649	3.311	0	0	0.649	1.405	0	1.258
ABCC12	0	14.313	0	0	0	9.74	0	4.573
ABCC2	0	4.014	0	0	0	0.531	0.423	3.06
ABCC3	0	1.127	0	0	0	0	0	1.127
ABCC4	0.439	6.493	0	0.439	0	0	1.337	4.717
ABCC5	1.452	13.937	0	0	1.452	1.126	5.859	5.5
ABCC6	0	3.238	0	0	0	1.11	1.009	1.119
ABCC8	0	2.359	0	0	0	1.26	0	1.099
ABCC9	1.054	3.496	0	0	1.054	0	0.544	1.897
ABCD1	1.897	13.973	0	0	1.897	0.487	3.14	8.449
ABCD2	0	6.432	0	0	0	0.674	2.547	3.211
ABCD3	0.17	3.364	0.068	0.102	0	1.416	0.544	1.234
