gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.599	5.016	1.599	0	0	0	1.418	1.999
A1CF	0.043	1.567	0	0	0.043	0.157	0.518	0.849
A2M	0.047	0.493	0	0	0.047	0.16	0.286	0
A3GALT2	0.032	1.076	0	0	0.032	0.108	0.307	0.63
A4GALT	1.094	12.293	0.733	0	0.362	1.546	0	9.652
A4GNT	0	5.87	0	0	0	1.605	0.727	3.538
AAAS	2.798	20.675	0	0	2.798	0.676	0	17.202
AACS	2.03	44.911	0	0	2.03	3.986	0	38.894
AADAC	0.346	12.638	0	0.346	0	3.787	8.505	0
AADACL2	0.056	0.4	0	0.056	0	0.1	0.161	0.084
AADACL3	0	11.269	0	0	0	0	0.969	10.301
AADAT	0.219	6.559	0	0.219	0	4.188	1.277	0.875
AAGAB	0.124	2.69	0	0	0.124	1.476	0	1.09
AAK1	0	15.048	0	0	0	3.063	2.852	9.133
AAMDC	0.347	10.596	0	0	0.347	1.926	1.79	6.533
AAMP	0	7.02	0	0	0	0	0	7.02
AANAT	0.659	12.988	0	0	0.659	3.311	0	9.018
AAR2	0.178	2.275	0	0	0.178	0.219	0	1.878
AARD	2.437	14.762	0.814	0	1.623	0	0	12.325
AARS	1.585	98.95	0	0	1.585	7.546	0	89.819
AARS2	0.081	3.125	0	0	0.081	0.479	1.257	1.308
AARSD1	0.138	0.829	0	0	0.138	0.159	0	0.532
AASDH	0	10.838	0	0	0	2.501	0.956	7.381
AASDHPPT	1.308	8.163	0	1.308	0	2.838	2.212	1.805
AASS	0	5.515	0	0	0	0	4.928	0.587
AATF	0.076	1.566	0	0	0.076	0	0.153	1.337
AATK	0	0	0	0	0	0	0	0
ABAT	0	2.321	0	0	0	0.433	0	1.888
ABCA1	0.05	0.773	0	0.05	0	0.442	0.28	0
ABCA12	0	2.023	0	0	0	0.707	0.63	0.686
ABCA13	1.305	13.31	0	1.305	0	5.813	0	6.191
ABCA2	0	0.926	0	0	0	0.28	0.072	0.574
ABCA3	0	33.164	0	0	0	6.44	2.927	23.797
ABCA4	0	4.356	0	0	0	0.444	1.184	2.728
ABCA5	0	5.907	0	0	0	1.229	0.768	3.911
ABCA6	1.884	28.656	0.896	0	0.989	8.096	9.888	8.788
ABCA7	1.236	86.399	0	0	1.236	4.221	0	80.942
ABCA8	0.111	0.988	0.074	0.037	0	0.411	0.229	0.237
ABCA9	0.345	10.728	0	0.345	0	6.79	1.568	2.026
ABCB1	3.932	5.927	0	3.932	0	1.995	0	0
ABCB10	4.053	77.262	0	0	4.053	29.759	0.851	42.598
ABCB11	0.293	3.815	0	0	0.293	0.293	1.763	1.465
ABCB4	0	66.397	0	0	0	4.977	33.886	27.533
ABCB5	0	3.696	0	0	0	0.664	0.531	2.501
ABCB6	0.398	21.609	0	0	0.398	5.823	0.472	14.916
ABCB7	0	8.721	0	0	0	2.08	1.5	5.14
ABCB8	11.677	54.397	0	0	11.677	1.666	0	41.053
ABCB9	0.986	24.682	0	0	0.986	7.305	5.18	11.211
ABCC1	1.375	87.905	0	0	1.375	0	8.461	78.069
ABCC10	0	0.553	0	0	0	0	0	0.553
ABCC12	0	8.337	0	0	0	6.223	0	2.114
ABCC2	0.223	6.034	0	0	0.223	0.743	1.265	3.803
ABCC3	0	0.669	0	0	0	0	0	0.669
ABCC4	0.298	4.663	0	0.298	0	0	2.821	1.544
ABCC5	1.82	18.644	1.365	0	0.455	0.849	6.243	9.733
ABCC6	0	0.889	0	0	0	0.29	0.034	0.566
ABCC8	0	3.707	0	0	0	1.639	0	2.068
ABCC9	0.47	5.329	0	0	0.47	0	2.511	2.348
ABCD1	1.214	16.847	0	0	1.214	0.48	7.793	7.36
ABCD2	0	3.025	0	0	0	1.347	0.944	0.734
ABCD3	0	1.247	0	0	0	0.591	0.412	0.244
ABCD4	2.971	15.701	0	0	2.971	4.139	0	8.592
ABCE1	0.734	31.818	0	0	0.734	2.906	13.553	14.624
ABCF1	1.163	4.639	0	0	1.163	0.611	0	2.865
ABCF2	0.807	4.603	0.129	0.257	0.421	0.348	0.319	3.129
ABCF3	0.086	3.444	0	0	0.086	0.112	0.512	2.735
ABCG1	0.488	3.159	0	0.488	0	2.671	0	0
ABCG2	0	4.035	0	0	0	2.367	0	1.668
ABCG4	1.693	20.287	0	0	1.693	0	0	18.595
ABCG5	1.776	17.359	0	0.444	1.332	1.871	0	13.712
ABCG8	0	0.774	0	0	0	0.229	0.246	0.298
ABHD10	0.329	5.58	0	0	0.329	1.441	0.371	3.44
ABHD11	1.098	125.31	0	0	1.098	43.585	0	80.626
ABHD12	0	0.085	0	0	0	0	0.028	0.058
ABHD12B	0	2.508	0	0	0	0.692	0.352	1.464
ABHD13	0.249	26.401	0	0	0.249	20.68	4.798	0.674
ABHD14A	0.094	1.435	0	0	0.094	0.021	0	1.319
ABHD14B	0.066	2.631	0	0	0.066	0.174	0	2.39
ABHD15	0.316	4.537	0	0	0.316	0.31	0	3.911
ABHD16A	3.429	38.098	0	0	3.429	9	0.566	25.104
ABHD16B	7.787	70.017	3.631	0	4.156	9.149	0	53.081
ABHD17A	1.193	5.894	0	0	1.193	0	0	4.701
ABHD17B	0.816	23.982	0	0	0.816	1.735	6.688	14.744
ABHD17C	0.376	6.362	0	0	0.376	3.937	0.539	1.509
ABHD18	0	0.746	0	0	0	0.019	0	0.726
ABHD2	0.008	2.076	0	0	0.008	0.082	1.524	0.462
ABHD3	0.838	12.758	0	0	0.838	1.078	2.045	8.797
ABHD4	0.079	4.29	0	0	0.079	0.218	2.173	1.819
ABHD5	0.65	42.926	0	0	0.65	5.816	0	36.46
ABHD6	0.212	1.969	0	0	0.212	0.631	0.224	0.901
ABHD8	0.49	17.006	0	0	0.49	5.32	0	11.196
ABI1	0.043	0.679	0	0	0.043	0.087	0.084	0.464
ABI2	2.125	17.81	0	0	2.125	3.967	0	11.717
ABI3	0	20.138	0	0	0	0	0	20.138
ABL1	0.157	5.408	0	0	0.157	0.303	0	4.947
ABL2	0.196	2.236	0	0	0.196	0.064	0.299	1.678
ABLIM1	0	0.498	0	0	0	0	0.27	0.228
ABLIM2	0	0.407	0	0	0	0.047	0.037	0.323
ABLIM3	0.11	1.107	0.11	0	0	0.174	0.245	0.578
ABO	0.071	0.192	0.071	0	0	0.033	0	0.087
ABR	0.341	5.816	0	0	0.341	0	0	5.475
ABRA	0.024	0.306	0	0	0.024	0	0.062	0.22
ABRACL	0.034	0.614	0.034	0	0	0.361	0.036	0.183
ABT1	1.019	14.914	0	0	1.019	1.132	6.109	6.653
ABTB1	0	11.894	0	0	0	3.887	1.887	6.12
ABTB2	0	5.271	0	0	0	2.229	0.356	2.686
ACAA1	0	13.341	0	0	0	0	0	13.341
ACAA2	0.585	37.353	0	0	0.585	8.29	5.298	23.18
ACACA	3.644	23.699	0	0	3.644	0.785	0.973	18.297
ACACB	2.2	49.616	0	0	2.2	9.382	2.207	35.828
ACAD10	7.509	35.14	0	0	7.509	2.059	0.37	25.201
ACAD11	0.264	18.302	0	0	0.264	0.746	0.649	16.643
ACAD8	0	17.46	0	0	0	6.019	4.978	6.463
ACAD9	0	50.09	0	0	0	6.749	6.346	36.996
ACADL	1.42	18.03	0	0	1.42	6.247	5.956	4.407
ACADM	2.819	18.113	0.537	0.471	1.812	2.638	0.55	12.107
ACADS	2.459	13.63	0	0.492	1.968	0.176	0.9	10.094
ACADSB	7.999	16.277	0	1.815	6.184	3.047	0.489	4.742
ACADVL	0	1.317	0	0	0	0.18	0	1.137
ACAP1	0	8.768	0	0	0	0	0	8.768
ACAP2	0	0.452	0	0	0	0	0	0.452
ACAP3	0	0	0	0	0	0	0	0
ACAT1	0.891	16.698	0.891	0	0	3.897	3.285	8.624
ACAT2	0.4125	8.723	0	0	0.4125	0.556	0	7.7545
ACBD3	0.618	65.976	0	0	0.618	6.324	0	59.035
ACBD4	1.393	11.234	0	0	1.393	0	0	9.841
ACBD5	4.056	22.352	0	0.219	3.837	3.995	4.085	10.217
ACBD6	0	3.624	0	0	0	0.802	1.058	1.764
ACBD7	1.246	4.546	0	0	1.246	2.075	0	1.226
ACCS	0.051	0.516	0.051	0	0	0.049	0.085	0.331
ACCSL	1.283	55.02	0	0	1.283	44.511	0	9.226
ACD	0.432	2.658	0	0	0.432	0	0	2.225
ACE	0	11.031	0	0	0	0	3.655	7.376
ACE2	0.044	1.532	0	0.044	0	0.256	0.418	0.814
ACER1	1.4	32.226	0.407	0	0.993	5.643	1.671	23.512
ACER2	0.774	14.243	0	0	0.774	2.906	0	10.563
ACER3	1.799	12.545	0.803	0	0.996	3.384	0	7.361
ACHE	0.448	28.016	0	0	0.448	15.192	0	12.376
ACIN1	0	0.458	0	0	0	0	0	0.458
ACKR1	0	2.067	0	0	0	0	0.477	1.59
ACKR2	0	5.684	0	0	0	1.828	0.389	3.467
ACKR3	0	3.785	0	0	0	2.637	0	1.148
ACKR4	0.765	10.293	0	0	0.765	0	2.554	6.973
ACLY	1.486	43.945	0	0	1.486	5.113	19.335	18.011
ACMSD	0	17.838	0	0	0	2.806	6.089	8.944
ACO1	1.583	47.329	1.583	0	0	33.648	0	12.098
ACO2	0	4.733	0	0	0	0.143	0.027	4.563
ACOD1	0	7.182	0	0	0	0	4.089	3.093
ACOT1	0.218	1.356	0.115	0	0.103	0.395	0	0.743
ACOT11	0	5.55	0	0	0	0	0	5.55
ACOT12	0	8.889	0	0	0	2.03	4.415	2.445
ACOT13	4.205	19.686	0	0	4.205	0.537	0.902	14.042
