gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.485	0.89	0.485	0	0	0	0.203	0.202
A1CF	1.023	9.989	0	0	1.023	1.72	4.002	3.243
A2M	0.259	3.571	0	0	0.259	1.531	1.78	0
A3GALT2	1.06	11.49	0	0	1.06	2.286	2.079	6.066
A4GALT	1.215	14.222	0	0	1.215	0.956	0	12.05
A4GNT	0	4.887	0	0	0	1.569	0.613	2.705
AAAS	2.957	21.904	0	0	2.957	1.061	0	17.886
AACS	0.934	23.162	0	0	0.934	1.753	0	20.475
AADAC	0	2.37	0	0	0	0.883	1.487	0
AADACL2	0.867	3.053	0	0.867	0	0.907	0.372	0.908
AADACL3	0.243	6.885	0.243	0	0	0	0.756	5.886
AADAT	0	17.038	0	0	0	10.235	5.277	1.525
AAGAB	0.688	11.663	0.33	0	0.359	2.045	0	8.93
AAK1	0	12.517	0	0	0	2.03	4.119	6.367
AAMDC	1.187	55.761	0	0	1.187	10.184	11.83	32.56
AAMP	0	3.129	0	0	0	0	0	3.129
AANAT	0.359	14.785	0	0	0.359	4.006	0	10.421
AAR2	0.449	14.196	0	0	0.449	0.586	0	13.162
AARD	2.057	9.629	1.219	0	0.838	0	0	7.573
AARS	0.078	8.037	0	0	0.078	0.384	0	7.574
AARS2	0.929	16.761	0	0	0.929	3.499	1.747	10.586
AARSD1	7.035	26.044	0	0	7.035	5.786	0	13.223
AASDH	0	23.291	0	0	0	2.337	1.911	19.043
AASDHPPT	4.005	32.407	0	4.005	0	14.307	9.572	4.523
AASS	0.403	7.543	0	0.403	0	0	5.083	2.058
AATF	2.511	58.681	0	0	2.511	0	13.624	42.546
AATK	0	0	0	0	0	0	0	0
ABAT	0	6.771	0	0	0	0.707	0	6.064
ABCA1	2.86	10.04	0	2.86	0	4.511	2.668	0
ABCA12	0	4.228	0	0	0	0.875	1.824	1.529
ABCA13	3.071	11.615	0	3.071	0	5.05	0	3.494
ABCA2	0	1.552	0	0	0	0.375	0.108	1.069
ABCA3	0	21.134	0	0	0	6.566	3.448	11.12
ABCA4	0	6.547	0	0	0	0.867	2.504	3.177
ABCA5	0	1.281	0	0	0	0.432	0.119	0.73
ABCA6	4.02	37.392	1.908	0	2.113	6.555	17.447	9.369
ABCA7	2.183	31.253	0	0	2.183	3.965	0	25.104
ABCA8	1.88	18.207	1.41	0.47	0	8.158	2.742	5.427
ABCA9	0.817	12.93	0	0.817	0	7.051	2.455	2.606
ABCB1	1.293	2.607	0	1.293	0	1.314	0	0
ABCB10	4.885	87.535	0	0	4.885	11.96	1.524	69.166
ABCB11	0.161	1.295	0	0	0.161	0	0.71	0.424
ABCB4	0	19.506	0	0	0	5.459	7.743	6.304
ABCB5	0.317	5.39	0	0.317	0	1.268	0.634	3.171
ABCB6	1.779	35.737	0	0	1.779	2.372	3.629	27.957
ABCB7	3.653	61.513	0	0	3.653	2.622	31.544	23.694
ABCB8	0.984	17.154	0	0	0.984	2.576	0	13.594
ABCB9	0.769	49.572	0	0	0.769	22.135	4.904	21.764
ABCC1	1.883	36.23	0	0	1.883	0	5.897	28.451
ABCC10	0.403	4.605	0	0	0.403	0.246	0	3.956
ABCC12	0	9.536	0	0	0	8.249	0	1.287
ABCC2	0.263	6.128	0	0	0.263	0.601	1.418	3.847
ABCC3	0	5.544	0	0	0	0	0	5.544
ABCC4	0.348	10.38	0	0.348	0	0	2.475	7.556
ABCC5	4.208	43.794	0.389	0	3.819	6.049	9.926	23.611
ABCC6	0	3.207	0	0	0	0.958	0.357	1.892
ABCC8	0	4.157	0	0	0	2.004	0	2.153
ABCC9	0.581	6.944	0	0	0.581	0	3.168	3.195
ABCD1	2.901	48.227	0	0	2.901	0.726	4.285	40.315
ABCD2	0	6.525	0	0	0	3.641	1.554	1.331
ABCD3	0.175	7.687	0.175	0	0	1.154	2.634	3.724
ABCD4	0.697	4.268	0	0	0.697	0.526	0	3.045
ABCE1	1.806	76.538	0	0	1.806	2.782	4.706	67.243
ABCF1	5.37	53.939	0	0	5.37	11.553	0	37.015
ABCF2	8.209	53.31	4.737	0	3.473	2.132	3.954	39.015
ABCF3	1.202	24.429	0	0	1.202	1.818	4.162	17.247
ABCG1	0	3.277	0	0	0	3.277	0	0
ABCG2	0	0.968	0	0	0	0	0	0.968
ABCG4	0.724	15.474	0	0	0.724	0	0	14.751
ABCG5	0.074	3.122	0	0	0.074	0.694	0	2.354
ABCG8	0	13.232	0	0	0	3.549	3.089	6.594
ABHD10	0.26	33.343	0	0	0.26	8.788	2.886	21.41
ABHD11	0.31	11.867	0	0	0.31	0.654	0	10.904
ABHD12	0	4.598	0	0	0	0	1.342	3.256
ABHD12B	0.257	2.798	0	0	0.257	0.368	0.253	1.921
ABHD13	0.059	1.714	0	0	0.059	0.98	0.048	0.627
ABHD14A	0.717	7.73	0	0	0.717	0.436	0	6.577
ABHD14B	0.662	4.553	0	0	0.662	0.62	0	3.271
ABHD15	4.609	30.316	0	0	4.609	1.634	0	24.074
ABHD16A	2.161	15.726	0	0	2.161	2.414	0.843	10.307
ABHD16B	3.113	20.22	1.581	0	1.533	4.634	0	12.473
ABHD17A	3.541	13.193	0	0	3.541	0	0	9.651
ABHD17B	0.435	7.51	0	0	0.435	0.719	0.785	5.572
ABHD17C	0.174	15.352	0	0	0.174	6.167	1.982	7.029
ABHD18	0	9.502	0	0	0	0.713	0	8.79
ABHD2	0.046	3.992	0	0	0.046	0.191	0.786	2.969
ABHD3	0.311	3.561	0	0	0.311	0.513	0.58	2.156
ABHD4	0.282	8.741	0	0	0.282	2.546	0.226	5.687
ABHD5	0.378	10.706	0	0	0.378	2.153	0	8.175
ABHD6	0	3.533	0	0	0	0.66	0.302	2.572
ABHD8	2.259	29.666	0	0	2.259	6.019	0	21.388
ABI1	7.306	38.998	0	1.585	5.721	7.426	4.566	19.7
ABI2	4.405	23.717	0	0	4.405	3.644	0	15.668
ABI3	0	2.003	0	0	0	0	0	2.003
ABL1	1.926	76.648	0	0	1.926	4.068	0	70.653
ABL2	1.083	16.829	0	0	1.083	0.904	2.403	12.439
ABLIM1	0	5.241	0	0	0	1.227	2.217	1.798
ABLIM2	0	4.476	0	0	0	1.138	1.195	2.144
ABLIM3	0.283	3.897	0.283	0	0	0.28	0.425	2.909
ABO	0.949	2.351	0.949	0	0	0.267	0	1.135
ABR	0.375	11.414	0	0	0.375	0	0	11.039
ABRA	0.645	4.78	0	0	0.645	0	1.476	2.659
ABRACL	0.365	23.286	0.365	0	0	5.898	0.833	16.189
ABT1	4.657	61.783	0	1.542	3.115	25.984	3.906	27.236
ABTB1	0	15.3	0	0	0	1.757	2.439	11.105
ABTB2	0	7.683	0	0	0	3.505	0.617	3.562
ACAA1	0	13.153	0	0	0	0	0	13.153
ACAA2	1.397	35.757	0	0	1.397	8.394	13.289	12.678
ACACA	1.396	18.019	0	0	1.396	0.547	0.521	15.555
ACACB	2.298	18.543	0	0	2.298	3.147	1.44	11.659
ACAD10	12.514	207.841	0	0	12.514	22.071	0	173.256
ACAD11	1.507	21.369	0	0	1.507	2.808	1.835	15.219
ACAD8	0.29	47.85	0	0.29	0	18.143	8.679	20.737
ACAD9	0	18.894	0	0	0	1.566	7.422	9.906
ACADL	0	10.085	0	0	0	2.293	3.161	4.631
ACADM	2.126	20.204	0.745	0.229	1.152	3.5	0.93	13.648
ACADS	4.235	22.939	0	0.855	3.38	1.456	0.935	16.314
ACADSB	3.226	20.801	0	2.999	0.228	7.857	0.639	9.078
ACADVL	0	25.651	0	0	0	2.229	0	23.422
ACAP1	0	2.542	0	0	0	0	0	2.542
ACAP2	2.711	3.771	1.77	0.942	0	0	0	1.059
ACAP3	0	0	0	0	0	0	0	0
ACAT1	1.748	27.947	1.748	0	0	6.097	5.781	14.321
ACAT2	1.2805	24.6265	0	0	1.2805	2.6615	0	20.685
ACBD3	0.287	27.963	0	0	0.287	3.682	0	23.994
ACBD4	0.889	9.615	0	0	0.889	0	0	8.726
ACBD5	2.029	13.38	0	0.186	1.844	2.619	1.26	7.472
ACBD6	0	22.457	0	0	0	5.138	2.295	15.023
ACBD7	0.303	3.559	0	0	0.303	0.252	0	3.004
ACCS	0.24	5.913	0.24	0	0	0.753	1.69	3.23
ACCSL	0.073	2.479	0	0	0.073	1.072	0	1.334
ACD	1.604	10.085	0	0	1.604	0	0	8.482
ACE	0	12.63	0	0	0	0	3.37	9.26
ACE2	2.45	21.143	0	1.282	1.168	3.491	5.022	10.18
ACER1	1.642	18.49	0.612	0	1.03	3.444	1.653	11.751
ACER2	0.36	3.693	0	0	0.36	0.724	0	2.61
ACER3	1.878	14.632	1.056	0	0.822	2.76	0	9.994
ACHE	0.124	3.098	0	0	0.124	0.509	0	2.466
ACIN1	0	36.53	0	0	0	0	0	36.53
ACKR1	0	0.467	0	0	0	0	0.147	0.321
ACKR2	0	6.544	0	0	0	1.186	0.203	5.155
ACKR3	0	0.622	0	0	0	0.622	0	0
ACKR4	1.921	16.498	0	0	1.921	0	2.36	12.216
ACLY	4.354	47.785	0	0	4.354	13.488	3.844	26.099
ACMSD	0	15.638	0	0	0	4.105	2.39	9.142
ACO1	0.51	6.091	0.51	0	0	4.175	0	1.406
ACO2	0.389	26.407	0	0	0.389	1.451	1.084	23.484
ACOD1	0	6.847	0	0	0	0	4.631	2.216
ACOT1	0.749	2.781	0.214	0	0.536	0.646	0	1.386
ACOT11	0.293	16.585	0	0	0.293	0.293	0	15.999
ACOT12	0	9.889	0	0	0	1.569	5.626	2.694
ACOT13	10.134	48.415	0	0	10.134	2.1	1.39	34.792
ACOT2	0.9	10.055	0	0	0.9	3.566	1.007	4.583
ACOT4	1.629	11.11	0	0.628	1.001	3.422	0	6.058
ACOT7	0.149	19.055	0.149	0	0	5.726	0.898	12.282
ACOT8	3.362	47.906	0	0	3.362	0	0	44.544
ACOT9	0	15.645	0	0	0	4.0195	1.755	9.87
ACOX1	2.426	52.609	0	0	2.426	19.651	5.334	25.198
ACOX2	0	34.392	0	0	0	4.621	3.262	26.508
ACOX3	1.442	14.087	0.73	0	0.712	2.303	0	10.342
ACOXL	1.577	19.67	0	0.946	0.631	5.978	7.318	4.797
ACP1	1.6	7.25	0	1.143	0.457	0	0	5.65
ACP2	3.863	42.942	0	0	3.863	10.571	0	28.508
ACP6	0.123	5.191	0	0	0.123	0.45	0	4.619
ACP7	0.322	11.567	0	0	0.322	0.165	1.465	9.616
ACPP	0.789	15.161	0	0.315	0.474	1.247	3.392	9.733
ACR	0	7.435	0	0	0	1.144	0	6.291
ACRBP	9.409	109.545	0	0	9.409	6.75	0	93.386
ACRV1	0	16.971	0	0	0	1.174	3.316	12.48
ACSBG1	2.936	25.177	0	0	2.936	7.581	0	14.66
ACSBG2	1.43	17.069	0	0	1.43	10.11	0	5.528
ACSF2	2.267	21.536	0	0	2.267	3.534	1.543	14.192
ACSF3	0.404	9.156	0.404	0	0	0.983	1.042	6.726
