gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	3.419	4.501	3.419	0	0	0	0	1.081
A1CF	0	1.606	0	0	0	0.132	0.257	1.218
A2M	0.067	0.531	0	0	0.067	0.224	0.241	0
A3GALT2	0.079	1.573	0	0	0.079	0.277	0.248	0.968
A4GALT	1.417	6.8	0.304	0	1.113	0.718	0	4.665
A4GNT	0	9.868	0	0	0	3.483	1.04	5.344
AAAS	1.709	13.673	0	0	1.709	0.482	0	11.483
AACS	0.504	15.926	0	0	0.504	1.37	0	14.053
AADAC	3.094	11.211	0	3.094	0	2.921	5.197	0
AADACL2	0	0.615	0	0	0	0.219	0.285	0.11
AADACL3	0	7.253	0	0	0	0	0	7.253
AADAT	0.906	15.142	0	0.906	0	9.885	2.538	1.812
AAGAB	0.093	5.859	0.093	0	0	2.896	0	2.871
AAK1	0	11.373	0	0	0	1.691	3.244	6.438
AAMDC	0.835	11.601	0	0	0.835	1.728	2.309	6.728
AAMP	0	13.607	0	0	0	0	0	13.607
AANAT	0.161	3.538	0	0	0.161	0.926	0	2.451
AAR2	4.661	34.972	0	0	4.661	1.708	0	28.603
AARD	3.12	5.703	2.262	0	0.858	0	0	2.583
AARS	1.096	67.059	0	0	1.096	8.364	0	57.599
AARS2	0.042	3.905	0	0	0.042	0.697	0.894	2.272
AARSD1	0.511	2.436	0	0	0.511	0.661	0	1.263
AASDH	0	6.845	0	0	0	1.157	0	5.688
AASDHPPT	0.342	4.475	0	0.342	0	0.659	3.002	0.472
AASS	0	5.153	0	0	0	0	2.71	2.443
AATF	0.418	3.099	0	0	0.418	0	0.629	2.052
AATK	0	0	0	0	0	0	0	0
ABAT	0	3.871	0	0	0	0.435	0	3.436
ABCA1	0	0.809	0	0	0	0.46	0.35	0
ABCA12	0	2.639	0	0	0	0.64	0	1.999
ABCA13	0	11.627	0	0	0	5.952	0	5.675
ABCA2	0	0.975	0	0	0	0.127	0.172	0.677
ABCA3	0	18.055	0	0	0	7.059	2.606	8.389
ABCA4	0.492	4.181	0	0	0.492	0.662	0.894	2.132
ABCA5	0	1.783	0	0	0	0.254	0	1.529
ABCA6	2.244	20.885	0	0	2.244	7.626	4.977	6.038
ABCA7	0.651	27.9	0	0	0.651	4.248	0	23.002
ABCA8	0.558	2.656	0.352	0.206	0	0.909	0.298	0.89
ABCA9	0.635	15.298	0	0.635	0	10.974	1.797	1.893
ABCB1	3.614	7.754	0	3.614	0	4.14	0	0
ABCB10	3.132	114.532	0	0	3.132	60.212	2.14	49.048
ABCB11	0	8.007	0	0	0	1.021	4.914	2.071
ABCB4	0	15.053	0	0	0	2.964	6.21	5.879
ABCB5	0.229	2.528	0	0.229	0	0.708	0.318	1.273
ABCB6	0	16.521	0	0	0	0.945	0.594	14.982
ABCB7	0	0.75	0	0	0	0	0.75	0
ABCB8	2.604	60.673	0	0	2.604	2.897	0	55.172
ABCB9	0.957	10.962	0	0	0.957	3.672	1.069	5.264
ABCC1	1.671	82.402	0	0	1.671	0	4.734	75.998
ABCC10	0	5.083	0	0	0	1.419	0	3.665
ABCC12	0	9.609	0	0	0	5.961	0	3.648
ABCC2	0.726	6.896	0	0	0.726	0	1.089	5.081
ABCC3	0	0.997	0	0	0	0	0	0.997
ABCC4	2.026	15.701	0	2.026	0	0	1.86	11.815
ABCC5	1.482	11.994	0.458	0	1.024	0.717	4.984	4.811
ABCC6	0	6.061	0	0	0	3.54	1.193	1.329
ABCC8	0	2.22	0	0	0	0.929	0	1.291
ABCC9	0.852	4.593	0	0	0.852	0	1.752	1.989
ABCD1	0.718	5.685	0	0	0.718	0.753	1.034	3.179
ABCD2	0	8.731	0	0	0	3.076	2.547	3.107
ABCD3	0.225	1.836	0.114	0.111	0	0.972	0.217	0.421
ABCD4	1.453	7.543	0	0	1.453	1.313	0	4.778
ABCE1	0.956	13.19	0	0	0.956	1.92	2.303	8.012
ABCF1	2.491	11.435	0	0	2.491	2.529	0	6.414
ABCF2	1.534	9.075	0	0	1.534	0	0	7.541
ABCF3	0.061	6.634	0	0	0.061	0.366	0.226	5.98
ABCG1	0.17	0.801	0	0.17	0	0.631	0	0
ABCG2	0	7.342	0	0	0	3.301	0	4.041
ABCG4	0.392	14.784	0	0	0.392	0	0	14.392
ABCG5	0.738	13.77	0	0	0.738	1.517	0	11.515
ABCG8	0	3.665	0	0	0	1.078	0.118	2.469
ABHD10	0.394	8.403	0	0	0.394	1.786	1.75	4.472
ABHD11	2.44	115.033	0	0	2.44	34.167	0	78.426
ABHD12	0	0.131	0	0	0	0	0	0.131
ABHD12B	1.403	27.328	0	0	1.403	3.498	0.504	21.923
ABHD13	2.446	22.413	0	0	2.446	13.045	5.277	1.645
ABHD14A	0.173	5.619	0	0	0.173	0.12	0	5.326
ABHD14B	0.267	5.887	0	0	0.267	0.164	0	5.455
ABHD15	0.332	5.087	0	0	0.332	0.498	0	4.257
ABHD16A	3.536	28.614	0	0	3.536	9.003	0.568	15.507
ABHD16B	4.131	53.118	3.201	0	0.93	4.997	0	43.991
ABHD17A	1.721	6.519	0	0	1.721	0	0	4.798
ABHD17B	2.576	55.402	0	0	2.576	2.326	11.328	39.172
ABHD17C	0.612	3.292	0	0	0.612	1.715	0	0.965
ABHD18	0	2.036	0	0	0	0.207	0	1.829
ABHD2	0.157	13.565	0	0	0.157	0.229	6.821	6.358
ABHD3	3.946	18.142	0	0	3.946	1.428	1.235	11.533
ABHD4	0.831	9.83	0	0	0.831	0.242	2.824	5.933
ABHD5	0.532	14.484	0	0	0.532	2.119	0	11.833
ABHD6	0.134	2.915	0	0	0.134	0.373	0.868	1.541
ABHD8	1.296	22.865	0	0	1.296	16.186	0	5.383
ABI1	0.501	1.871	0	0.112	0.388	0.589	0	0.782
ABI2	4.205	17.987	0	0	4.205	3.373	0	10.409
ABI3	0	5.501	0	0	0	0	0	5.501
ABL1	0.237	5.437	0	0	0.237	0.142	0	5.058
ABL2	0.026	3.61	0	0	0.026	0.282	0.491	2.811
ABLIM1	0	10.316	0	0	0	3.678	2.477	4.161
ABLIM2	0	0.256	0	0	0	0.074	0.064	0.119
ABLIM3	0.229	2.039	0.229	0	0	0.346	0.231	1.233
ABO	0.588	0.992	0.588	0	0	0.138	0	0.265
ABR	0.52	3.317	0	0	0.52	0	0	2.797
ABRA	0.155	1.178	0	0	0.155	0	0.155	0.868
