gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.638	1.516	0.638	0	0	0	0.319	0.56
A1CF	0.35	8.237	0	0	0.35	2.547	1.287	4.054
A2M	0.176	2.82	0	0	0.176	0.821	1.824	0
A3GALT2	0.127	2.686	0	0	0.127	0.93	0.891	0.737
A4GALT	6.319	37.321	0.932	0	5.388	2.108	0	28.893
A4GNT	0.249	14.656	0	0	0.249	4.494	0.725	9.188
AAAS	2.871	16.671	0	0	2.871	0.897	0	12.904
AACS	0.98	16.04	0	0	0.98	1.697	0	13.363
AADAC	0.715	29.268	0	0.715	0	13.023	15.53	0
AADACL2	1.539	10.647	0	1.539	0	2.331	3.693	3.084
AADACL3	0.609	15.412	0.609	0	0	0	0.696	14.107
AADAT	0	5.918	0	0	0	4.158	1.481	0.279
AAGAB	2.961	17.335	1.057	0	1.904	8.761	0	5.612
AAK1	0	2.129	0	0	0	0.35	0.357	1.422
AAMDC	0.867	22.389	0	0	0.867	4.886	1.602	15.034
AAMP	0	2.225	0	0	0	0	0	2.225
AANAT	0.076	4.344	0	0	0.076	0.839	0	3.43
AAR2	0.548	3.851	0	0	0.548	0.62	0	2.682
AARD	4.673	32.451	3.105	0	1.568	0	0	27.777
AARS	0.566	19.223	0	0	0.566	2.455	0	16.202
AARS2	0.584	16.712	0	0	0.584	2.545	2.073	11.51
AARSD1	3.448	17.283	0	0	3.448	3.625	0	10.21
AASDH	0	12.924	0	0	0	3.778	0.266	8.88
AASDHPPT	0.567	3.108	0	0.567	0	0.724	1.474	0.343
AASS	0	3.559	0	0	0	0	2.599	0.959
AATF	1.775	26.681	0	0	1.775	0	2.154	22.753
AATK	0	0	0	0	0	0	0	0
ABAT	0	166.284	0	0	0	32.735	0	133.55
ABCA1	3.141	16.207	0	3.141	0	9.416	3.649	0
ABCA12	0	2.778	0	0	0	1.05	0.617	1.112
ABCA13	0.292	14.894	0	0.292	0	8.465	0	6.137
ABCA2	0	2.451	0	0	0	0.463	0.55	1.438
ABCA3	0	23.526	0	0	0	8.435	5.042	10.05
ABCA4	0.173	7.018	0	0	0.173	1.068	1.772	4.005
ABCA5	0	8.732	0	0	0	2.386	2.96	3.386
ABCA6	3.772	22.319	1.763	0	2.008	4.349	8.419	5.779
ABCA7	0.057	2.794	0	0	0.057	0.125	0	2.611
ABCA8	2.408	19.694	1.625	0.783	0	10.712	1.899	4.674
ABCA9	0.494	12.416	0	0.494	0	9.209	1.028	1.685
ABCB1	2.043	3.58	0	2.043	0	1.537	0	0
ABCB10	0.761	15.118	0	0	0.761	3.361	0.45	10.546
ABCB11	0.725	10.671	0	0	0.725	0.362	2.339	7.245
ABCB4	0	9.987	0	0	0	3.345	4.438	2.205
ABCB5	0.113	1.659	0	0.113	0	0.495	0.113	0.939
ABCB6	0.103	2.924	0	0	0.103	1.152	0.075	1.594
ABCB7	2.75	18.672	0	0	2.75	3.231	8.466	4.225
ABCB8	0.424	5.231	0	0	0.424	0.793	0	4.013
ABCB9	0.273	8.137	0	0	0.273	3.002	0.717	4.146
ABCC1	0.839	13.861	0	0	0.839	0	1.329	11.693
ABCC10	0.444	2.722	0	0	0.444	0.351	0	1.927
ABCC12	0	6.603	0	0	0	4.213	0	2.39
ABCC2	0.716	14.421	0	0	0.716	1.634	2.435	9.636
ABCC3	0	23.838	0	0	0	0	0	23.838
ABCC4	0.358	8.451	0	0.358	0	0	1.966	6.127
ABCC5	2.223	14.597	0	0	2.223	1.415	5.691	5.268
ABCC6	0	41.824	0	0	0	9.012	7.251	25.561
ABCC8	0	1.637	0	0	0	0.893	0	0.744
ABCC9	0.228	1.454	0	0	0.228	0	0.418	0.808
ABCD1	0.716	6.07	0	0	0.716	0	0.874	4.48
ABCD2	0.939	3.582	0	0	0.939	0.601	1.056	0.987
ABCD3	0	5.729	0	0	0	3.849	0.829	1.051
ABCD4	4.837	34.432	0	0	4.837	2.971	0	26.624
ABCE1	0.266	5.33	0	0	0.266	0.166	0.504	4.393
ABCF1	0.675	3.111	0	0	0.675	0.953	0	1.483
ABCF2	2.375	15.157	0.586	0.707	1.082	1.334	1.019	10.428
ABCF3	0.692	17.254	0	0	0.692	1.117	2.346	13.099
ABCG1	0	4.528	0	0	0	4.528	0	0
ABCG2	0	9.129	0	0	0	2.383	1.001	5.745
ABCG4	1.181	13.427	0	0	1.181	0	0	12.246
ABCG5	1.211	35.411	0	0.846	0.365	2.569	0	31.63
ABCG8	0	46.067	0	0	0	11.822	8.768	25.478
ABHD10	0.125	5.009	0	0	0.125	1.11	0.262	3.512
ABHD11	0.797	276.034	0	0	0.797	2.658	0	272.578
ABHD12	0	3.495	0	0	0	0	0.791	2.705
ABHD12B	2.638	20.99	0	0	2.638	4.156	0.836	13.36
ABHD13	0.279	5.13	0	0	0.279	3.579	0.367	0.904
ABHD14A	2.046	10.169	0	0	2.046	0.992	0	7.13
ABHD14B	2.319	9.103	0	0	2.319	0.849	0	5.935
ABHD15	0.992	22.998	0	0	0.992	1.457	0	20.549
ABHD16A	1.176	11.335	0	0	1.176	3.145	0.509	6.505
ABHD16B	0.853	22.434	0.39	0	0.464	3.895	0	17.686
ABHD17A	0.398	1.491	0	0	0.398	0	0	1.093
ABHD17B	0	14.786	0	0	0	0.723	1.174	12.889
ABHD17C	0.102	6.769	0	0	0.102	2.986	0.612	3.069
ABHD18	0	10.724	0	0	0	1.324	0	9.4
ABHD2	0	9.01	0	0	0	0.87	1.335	6.805
ABHD3	2.09	17.948	0	0	2.09	1.115	2.426	12.318
ABHD4	0.823	25.284	0	0	0.823	5.639	1.334	17.488
ABHD5	0.986	13.153	0	0	0.986	2.251	0	9.915
ABHD6	3.652	74.921	0	0	3.652	8.687	6.071	56.511
ABHD8	0.779	30.514	0	0	0.779	16.604	0	13.131
ABI1	1.595	12.262	0	0.573	1.022	2.004	2.117	6.545
ABI2	0.232	2.372	0	0	0.232	0.575	0	1.565
ABI3	0	5.878	0	0	0	0	0	5.878
ABL1	0.601	23.806	0	0	0.601	1.411	0	21.795
ABL2	0.829	46.693	0	0	0.829	0.345	14.412	31.107
ABLIM1	0	11.452	0	0	0	0.535	6.555	4.362
ABLIM2	0	2.108	0	0	0	0.312	0	1.796
ABLIM3	2.114	94.11	2.114	0	0	11.046	18.904	62.047
ABO	1.962	7.312	1.962	0	0	0.312	0	5.038
ABR	0.379	5.318	0	0	0.379	0	0	4.939
ABRA	0.09	3.021	0	0	0.09	0	0.91	2.021
ABRACL	0.448	9.329	0.448	0	0	4.559	0.783	3.54
ABT1	2.209	35.381	0	2.209	0	9.655	1.367	22.15
ABTB1	0	4.945	0	0	0	2.652	0.418	1.875
ABTB2	0	25.807	0	0	0	13.14	1.187	11.48
ACAA1	0	4.387	0	0	0	0	0	4.387
ACAA2	0.131	5.727	0	0	0.131	0.985	1.45	3.161
ACACA	2.106	17.268	0	0	2.106	0.644	0.351	14.167
ACACB	2.575	18.084	0	0	2.575	3.462	1.284	10.763
ACAD10	5.323	95.356	0	0	5.323	9.035	4.791	76.207
ACAD11	0.063	1.728	0	0	0.063	0.35	0.179	1.137
ACAD8	0.606	14.412	0	0.606	0	4.455	5.996	3.355
ACAD9	0	20.661	0	0	0	6.616	5.487	8.558
ACADL	0.251	25.778	0	0	0.251	4.69	6.694	14.142
ACADM	7.886	74.471	1.08	0	6.806	13.454	3.797	49.333
ACADS	3.193	7.985	0	0.361	2.832	0.497	0	4.296
ACADSB	0.314	3.228	0	0.07	0.244	0.821	0	2.093
ACADVL	0	3.209	0	0	0	0.241	0	2.968
ACAP1	0	3.306	0	0	0	0	0	3.306
ACAP2	1.018	1.478	0.548	0.47	0	0	0	0.46
ACAP3	0	0	0	0	0	0	0	0
ACAT1	1.057	17.745	1.057	0	0	4.476	3.536	8.676
ACAT2	0.748	16.21	0	0	0.748	0.4845	0	14.9775
ACBD3	0.139	4.315	0	0	0.139	0.838	0	3.338
ACBD4	1.299	7.46	0	0	1.299	0	0	6.161
ACBD5	5.996	47.085	0	0.471	5.526	10.931	4.489	25.669
ACBD6	0	26.929	0	0	0	12.105	1.566	13.257
ACBD7	1.145	7.816	0	0	1.145	0.371	0	6.3
ACCS	0.588	17.904	0.588	0	0	1.986	7.596	7.735
ACCSL	1.969	60.926	0	0	1.969	22.979	0	35.978
ACD	0.617	1.651	0	0	0.617	0	0	1.035
ACE	0	24.366	0	0	0	0	5.653	18.712
ACE2	8.525	101.457	0	5.591	2.934	11.504	27.311	54.117
ACER1	4.594	57.907	0.373	0	4.22	17.82	0.495	34.998
ACER2	1.102	36.652	0	0	1.102	8.531	0	27.019
ACER3	1.928	13.019	0.769	0	1.158	1.102	0	9.99
ACHE	0.687	11.492	0	0	0.687	3.492	0	7.313
ACIN1	0	1.099	0	0	0	0	0	1.099
ACKR1	0	2.299	0	0	0	0	0.768	1.531
ACKR2	0	12.639	0	0	0	3.746	0.543	8.35
ACKR3	0	3.217	0	0	0	2.902	0	0.315
ACKR4	0.397	9.22	0	0	0.397	0	1.39	7.433
ACLY	0.714	6.753	0	0	0.714	1.81	0.76	3.469
ACMSD	0	28.83	0	0	0	6.465	3.139	19.226
ACO1	1.55	8.424	1.55	0	0	5.591	0	1.283
ACO2	1.171	15.447	0	0	1.171	0.461	0	13.816
ACOD1	0	21.32	0	0	0	0	15.519	5.801
ACOT1	5.937	22.417	0.964	0	4.973	4.869	0	11.611
ACOT11	0.198	8.998	0	0	0.198	0.503	0	8.296
ACOT12	0	4.073	0	0	0	0.826	2.242	1.005
ACOT13	2.368	9.246	0	0	2.368	0.482	0.167	6.229
ACOT2	3.075	33.718	0	0	3.075	14.604	2.32	13.719
ACOT4	2.579	13.143	0	0.374	2.205	3.174	0	7.389
ACOT7	0.741	48.46	0.741	0	0	13.872	4.051	29.796
ACOT8	0.629	8.118	0	0	0.629	0	0	7.489
ACOT9	0	19.129	0	0	0	7.6455	3.608	7.875
ACOX1	0.235	2.965	0	0	0.235	0.964	0.09	1.676
ACOX2	0	19.751	0	0	0	1.975	3.094	14.681
ACOX3	0.255	3.427	0.195	0	0.06	1.215	0	1.957
ACOXL	1.226	22.056	0	0.826	0.4	7.126	8.294	5.411
ACP1	0.784	4.566	0	0.392	0.392	0	0	3.782
ACP2	2.536	32.272	0	0	2.536	3.608	0	26.128
