gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.389	2.617	1.389	0	0	0	0.625	0.603
A1CF	0.131	0.656	0	0	0.131	0.11	0.044	0.372
A2M	1.048	5.219	0	0	1.048	2.362	1.81	0
A3GALT2	1.896	8.919	0	0	1.896	3.323	0.661	3.039
A4GALT	5.94	23.745	1.42	0	4.519	2.26	0	15.545
A4GNT	0	5.678	0	0	0	1.741	0.782	3.155
AAAS	1.127	17.523	0	0	1.127	1.309	0	15.087
AACS	0.134	10.031	0	0	0.134	2.148	0	7.748
AADAC	0	8.015	0	0	0	2.495	5.52	0
AADACL2	0	1.516	0	0	0	0	0.521	0.995
AADACL3	0	7.471	0	0	0	0	0	7.471
AADAT	0	8.119	0	0	0	6.173	1.946	0
AAGAB	0.286	5.27	0.132	0	0.154	1.891	0	3.093
AAK1	0	5.417	0	0	0	2.562	1.392	1.463
AAMDC	0.484	15.137	0	0	0.484	2.763	1.795	10.095
AAMP	0	3.831	0	0	0	0	0	3.831
AANAT	1.034	12.778	0	0	1.034	2.923	0	8.822
AAR2	0.708	5.984	0	0	0.708	1.734	0	3.542
AARD	5.126	9.943	3.778	0	1.348	0	0	4.817
AARS	1.826	26.957	0	0	1.826	0.997	0	24.134
AARS2	0.03	1.835	0	0	0.03	0.58	0.069	1.156
AARSD1	2.003	12.159	0	0	2.003	5.221	0	4.934
AASDH	0	13.165	0	0	0	0.774	0	12.39
AASDHPPT	1.384	3.849	0	1.384	0	1.075	1.39	0
AASS	0	4.992	0	0	0	0	4.203	0.789
AATF	0.221	2.575	0	0	0.221	0	0.391	1.963
AATK	0	0	0	0	0	0	0	0
ABAT	0	3.104	0	0	0	0.74	0	2.364
ABCA1	0	2.436	0	0	0	1.481	0.956	0
ABCA12	0	1.522	0	0	0	0.555	0	0.967
ABCA13	0	11.059	0	0	0	5.381	0	5.678
ABCA2	0	4.924	0	0	0	2.151	1.025	1.747
ABCA3	0	8.185	0	0	0	1.747	1.28	5.158
ABCA4	0	10.399	0	0	0	0.586	2.429	7.385
ABCA5	0	0.787	0	0	0	0.385	0	0.402
ABCA6	2.199	25.06	0.338	0	1.86	6.674	6.627	9.56
ABCA7	0.507	9.86	0	0	0.507	0.876	0	8.477
ABCA8	0.991	10.781	0.539	0.452	0	5.259	1.318	3.213
ABCA9	0.409	13.186	0	0.409	0	8.158	2.623	1.996
ABCB1	1.117	2.215	0	1.117	0	1.098	0	0
ABCB10	1.101	15.381	0	0	1.101	5.721	0	8.559
ABCB11	0	5.793	0	0	0	1.042	2.744	2.007
ABCB4	0	7.431	0	0	0	1.169	4.041	2.222
ABCB5	0.41	14.014	0	0.41	0	2.309	0.547	10.747
ABCB6	0.175	22.362	0	0	0.175	0.627	1.537	20.023
ABCB7	0	3.679	0	0	0	0.643	3.036	0
ABCB8	2.525	36.415	0	0	2.525	3.914	0	29.976
ABCB9	0.699	14.724	0	0	0.699	6.683	1.533	5.809
ABCC1	4.563	37.124	0	0	4.563	0	3.702	28.859
